,노선ID,노선명,상하행,노선길이,굴곡도합계,셀개수,굴곡도
155,28032065,45(강화),상행,12.340529000000002,325.3935591471293,325,1.0012109512219363
156,28032065,45(강화),하행,15.270468000000001,607.6823181205867,528,1.15091348128899
157,28032068,48(강화),상행,16.706735999999996,677.1467428351318,666,1.0167368511038015
158,28032068,48(강화),하행,17.545263000000002,805.2513695069802,780,1.0323735506499745
159,28032069,50(강화),상행,14.389565999999999,420.78912835555013,406,1.0364264245210595
160,28032069,50(강화),하행,13.797433999999999,445.9542222036359,435,1.0251821200083584
161,28032070,51(강화),상행,24.378079999999994,1323.374503176793,1275,1.0379407868053279
162,28032070,51(강화),하행,25.345922000000005,1432.337311145255,1378,1.039432010990751
163,28032071,52(강화),상행,15.035032000000003,547.0426436718122,528,1.0360656130147958
164,28032071,52(강화),하행,15.974967000000003,621.9449560862614,595,1.0452856404811117
165,28032072,53(강화),상행,19.774266000000004,422.14729073262697,406,1.0397716520508054
166,28032072,53(강화),하행,27.84782499999999,1348.0430498448632,990,1.3616596463079427
167,28032073,54(강화),상행,15.931424999999999,704.4084124595911,630,1.1181085912057
168,28032073,54(강화),하행,15.480072999999997,731.5862232839363,666,1.0984778127386432
169,28032074,55(강화),상행,21.877610999999998,1348.9742200579647,1176,1.147086921817997
170,28032074,55(강화),하행,21.156389,1328.8973479162828,1225,1.0848141615643125
171,28032076,61A(강화),상행,30.144916999999992,2833.3787416808327,2016,1.405445804405175
172,28032076,61A(강화),하행,31.332086000000007,3018.3266503637865,2145,1.4071452915448888
173,28032082,38A(강화),상행,31.787784000000002,2446.4012651192143,1953,1.2526376165484967
174,28032082,38A(강화),하행,32.895073999999994,2688.839668181262,2145,1.2535383068444113
175,28032084,57(강화),상행,20.555732999999996,818.4404953475054,780,1.0492826863429556
176,28032084,57(강화),하행,21.36541,949.2791227787142,903,1.0512504128224962
177,28034001,87,상행,20.263322,1364.8695591447004,1128,1.2099907439226067
178,28034001,87,하행,19.096189000000003,1344.8879955305176,1128,1.1922765917823739
179,28034002,80,상행,23.389363999999997,2880.1444601001167,2016,1.4286430853671215
180,28034002,80,하행,22.691502,2902.6959715755734,1953,1.4862754590760745
181,28034003,300,상행,25.76310800000001,922.9745799266115,861,1.0719797676267264
182,28034003,300,하행,22.257256000000005,787.0336705948102,741,1.0621237120037925
183,28037004,91(순환),상행,22.476192000000008,1807.0738734221177,903,2.0011892285959223
184,28037004,91(순환),하행,19.48231,1550.2446796982883,780,1.9874931791003696
185,28037008,92(순환),상행,24.538265000000003,3497.9831359417412,1485,2.355544199287368
186,28037008,92(순환),하행,24.60423700000001,3351.950097097719,1431,2.3423830168397757
187,28038003,904,상행,18.878925999999996,717.5560534398941,595,1.2059765604031834
188,28038003,904,하행,19.577073000000002,831.1673753070178,630,1.3193132941381234
189,28039001,111,상행,64.059395,2876.1928377309614,2415,1.1909701191432553
190,28039001,111,하행,61.719945999999986,2551.056354367592,2145,1.1893036617098331
191,28039002,111-2,상행,21.48908699999999,1309.0660071032187,1081,1.210976879836465
192,28039002,111-2,하행,19.340414000000003,1083.5405505379774,903,1.1999341644938841
193,28040002,302,상행,55.001567,1666.7612885334624,1275,1.3072637557125195
194,28040002,302,하행,51.47377500000001,1893.4391683209594,1485,1.275043210990545
195,28040003,303,상행,48.155061999999994,786.7522262576829,703,1.1191354569810568
196,28040003,303,하행,44.644775000000024,800.7355746134181,703,1.1390264219252035
197,28041001,112,상행,34.18201999999999,4689.8419182943935,3081,1.5221817326499167
198,28041001,112,하행,31.944979,4459.695267518071,3003,1.4850800091635268
199,28041002,306,상행,63.31705599999999,2415.0509019657843,1891,1.277128980415539
200,28041002,306,하행,63.664947000000005,2577.099783381838,1953,1.3195595409021188
201,28041003,308,상행,59.907628,906.5666126013256,861,1.0529228950073468
202,28041003,308,하행,60.14911999999999,834.6097089310642,780,1.0700124473475183
203,28042003,16,상행,30.325665999999995,3605.480790591363,2485,1.4508977024512528
