순번_정류장ID,40-2802708,41-2802731,42-2802755,43-2802776,44-2802813,45-2802853,46-2802903,47-2802942,48-2802439,49-2802449,50-2802370,51-2802459,52-2802473,53-2802495,54-2802517,55-2802506,56-2802514,57-2802522,58-2802375,59-2802504,60-2806677,61-2806675,62-2802558,63-2802569,64-2802560,65-2802555,66-2802556,67-2802553,68-2802543,69-2802537,70-2802364,71-2802544,72-2802548,73-2802365,74-2802570,75-2802571,76-2802576,77-2802578,78-2802585,79-2802374
66-2802556,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.5312180000000001,0.8569559999999999,1.090641,1.315037,1.6260459999999999,1.836124,1.423362,1.139099,1.046274,1.321339,1.2479069999999999,1.1197489999999999,1.325542
67-2802553,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.325739,0.559423,0.78382,1.0958290000000002,1.305906,1.253382,0.9701190000000001,0.877294,1.152358,1.078927,0.9507680000000001,1.156561
68-2802543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.233685,0.458081,0.7700899999999999,0.980168,1.58012,1.295857,1.2030319999999999,1.478097,1.404665,1.276507,1.4823
69-2802537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.22439699999999999,0.539406,0.749483,1.3751959999999999,1.258459,1.165633,1.440698,1.584651,1.510191,1.715984
70-2802364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.31500900000000004,0.525087,1.150799,1.034062,0.9412370000000001,1.216302,1.360254,1.6497119999999998,1.855505
71-2802544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.21007800000000001,0.8357899999999999,0.8789469999999999,0.786122,1.061187,1.2051399999999999,1.494597,1.70039
72-2802548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.625713,0.908976,0.996199,1.271264,1.415217,1.7046740000000002,1.910467
73-2802365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.283263,0.531438,0.806503,0.9444549999999999,1.2339129999999998,1.3288209999999998
74-2802570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.247175,0.5222399999999999,0.666192,0.95565,1.161443
75-2802571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.275065,0.419018,0.708475,0.9142680000000001
76-2802576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.143953,0.43341,0.639203
77-2802578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.289457,0.49525
78-2802585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.20579299999999998
79-2802374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
