순번_정류장ID,1-2806962,2-2806940,3-2806941,4-2806942,5-2806943,6-2806944,7-2807134,8-2806945,9-2807161,10-2807162,11-2807163,12-2806957,13-2807146,14-2807164,15-2807159,16-2807160,17-2807158,18-2807165,19-2807135,20-2806946,21-2807137,22-2806947,23-2806948,24-2806949,25-2807147,26-2807148,27-2807149,28-2806951,29-2807138,30-2806973,31-2807139,32-2807409,33-2807123,34-2807121,35-2806979,36-2807407,37-2806980,38-2806981,39-2806982,40-2806983,41-2806984,42-2806985,43-2807003,44-2806986,45-2807294,46-2807295,47-2807411,48-2807002,49-2806989,50-2806991,51-2807000,52-2806992,53-2806993,54-2806995,55-2806997,56-2806998,57-2806999,58-2807001,59-2807002,60-2806989,61-2807296,62-2807412,63-2807297,64-2807298,65-2806964,66-2806987,67-2806965,68-2806966,69-2806967,70-2806968
21-2807137,,,,,,,,,,,,,,,,,,,,,0,0.299375,0.6014970000000001,1.961788,2.5217400000000003,3.3689480000000005,3.622724,4.033544,4.302441,5.274948999999999,5.601808999999999,6.06016,6.5249239999999995,6.659922999999999,7.262794,7.974558999999999,8.601208999999999,8.917228,9.260888000000001,9.505037,9.340396,9.091563,8.403082000000001,8.040409,8.532141000000001,8.945084,11.09572,11.555114,12.51721,11.964065,12.404104,12.916094000000001,13.293420999999999,14.718210000000001,13.301796,12.90508,12.393292,11.958208,11.555114,12.51721,11.491682,11.032045,8.936613000000001,8.525927000000001,8.0477,8.41744,9.102041,9.324083,9.493067,9.247361
22-2806947,,,,,,,,,,,,,,,,,,,,,,0,0.302122,1.6624130000000001,2.222365,3.080573,3.334349,3.745169,4.014066000000001,4.986573,5.313434,5.7717849999999995,6.236549,6.371548000000001,6.974419,7.686184,8.312833,8.628853,8.972513000000001,9.216662,9.639771000000001,9.390938,8.702457,8.339785000000001,8.831516,9.244458999999999,11.395095,11.853489,12.817585000000001,12.264439999999999,12.70448,13.215469,13.592796,15.017585,13.602170999999998,13.204455,12.693667,12.257583,11.853489,12.817585000000001,11.791057,11.33142,9.235988,8.825303,8.347075,8.716816,9.401417,9.623458,9.204692,8.958986
23-2806948,,,,,,,,,,,,,,,,,,,,,,,0,1.36029,1.9202419999999998,2.778451,3.0322270000000002,3.443047,3.7119440000000004,4.684451,5.011311,5.469663,5.9344269999999995,6.069426,6.672297,7.384061999999999,8.010711,8.326731,8.670391,8.914539999999999,9.442107,9.69094,9.00458,8.641907000000002,9.133638000000001,9.546581,11.697217,12.155612,13.118707999999998,12.565562,13.005602,13.517591,13.894917999999999,15.319707000000001,13.903293,13.506576999999998,12.994789,12.559705000000001,12.155612,13.118707999999998,12.093179,11.633542,9.538110000000001,9.127425,8.649197000000001,9.018938,9.680461,9.45842,8.902569999999999,8.656864
24-2806949,,,,,,,,,,,,,,,,,,,,,,,,0,0.559952,1.41816,1.671936,2.082757,2.3516529999999998,3.324161,3.651021,4.109373000000001,4.574137,4.709136,5.312005999999999,6.023772,6.650421000000001,6.9664399999999995,7.3101009999999995,7.55425,8.081817,8.330649000000001,9.019131,9.398202000000001,9.889934,10.302877,12.453512,12.911907000000001,13.876003,13.321857999999999,13.762897,14.273886,14.652214,16.077003,14.659589000000002,14.263873,13.752085000000001,13.317,12.911907000000001,13.876003,12.849475,12.389837,10.294406,9.88372,9.374513,9.004772,8.320171,8.098130000000001,7.542279,7.296574000000001
25-2807147,,,,,,,,,,,,,,,,,,,,,,,,,0,0.858208,1.111984,1.522804,1.7917009999999998,2.764209,3.091069,3.5494209999999997,4.0141849999999994,4.149184,4.752054,5.46382,6.090469000000001,6.4064879999999995,6.750147999999999,6.994298,7.521864999999999,7.770697,8.459178,8.83825,9.329981,9.742924,11.89356,12.352955,13.316051000000002,12.762905,13.202945000000001,13.714934,14.092260999999999,15.517051,14.099637,13.703920000000002,13.192132999999998,12.757048,12.352955,13.316051000000002,12.289522,11.829885,9.734454,9.323768,8.814561,8.44482,7.760219,7.538178,6.982327000000001,6.7366220000000006
26-2807148,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.253776,0.664596,0.933493,1.9060009999999998,2.232861,2.6912130000000003,3.155976,3.290975,3.893846,4.605612000000001,5.232261,5.54828,5.89194,6.13609,6.663657000000001,6.912489,7.600969999999999,7.980042,8.471772999999999,8.884716000000001,11.035352,11.493747,12.456843,11.904697,12.344737,12.856726,13.233053,14.658842000000002,13.242429000000001,12.845711999999999,12.333925,11.897839999999999,11.493747,12.456843,11.431314,10.971677,8.876246,8.46556,7.956353,7.586612,6.902011,6.67997,6.124119,5.878414
27-2807149,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.410821,0.679717,1.652225,1.9790849999999998,2.437437,2.902201,3.0372,3.6400699999999997,4.3518360000000005,4.978485,5.294504,5.638164,5.882314,6.4098809999999995,6.6587130000000005,7.347194,7.726266000000001,8.217997,8.630939999999999,10.781576,11.239971,12.203066999999999,11.649921,12.089961,12.60195,12.979277,14.404067000000001,12.987653,12.590936,12.079149000000001,11.644064,11.239971,12.203066999999999,11.177538,10.717901,8.62247,8.211784,7.702577000000001,7.332836,6.648235000000001,6.426194000000001,5.870343,5.624638
28-2806951,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.268897,1.2414040000000002,1.568265,2.026616,2.49138,2.626379,3.22925,3.941015,4.567664,4.883684,5.227344,5.471493,5.999061,6.247893,6.936374000000001,7.3154449999999995,7.807177,8.22012,10.370756,10.83015,11.792246,11.239101,11.67914,12.19213,12.568457,13.994245999999999,12.577832,12.181116000000001,11.669328,11.234244,10.83015,11.792246,10.766718,10.307080000000001,8.211649000000001,7.800963,7.2917559999999995,6.922016,6.237415,6.015373,5.459523,5.213817
29-2807138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.972508,1.299368,1.7577200000000002,2.222484,2.357483,2.960353,3.6721190000000004,4.298768,4.614787000000001,4.958448000000001,5.202597,5.730164,5.9789959999999995,6.667478,7.046549000000001,7.538281,7.951224000000001,10.101859,10.561254,11.52335,10.971205,11.410244,11.923233,12.300561,13.72535,12.308936,11.91222,11.400432,10.965347,10.561254,11.52335,10.497822,10.038184,7.942753,7.532067,7.0228600000000005,6.653119,5.968518,5.746477,5.190626,4.944921
30-2806973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.7131770000000001,1.1715280000000001,1.636292,1.771291,2.374162,3.085927,3.7125769999999996,4.028596,4.372256,4.616405,5.143973,5.392805,6.081286,6.460358,6.952089,7.365032000000001,9.515668,9.975063,10.938158999999999,10.384013000000001,10.825053,11.337042,11.714369,13.139157999999998,11.721744000000001,11.326027999999999,10.813241,10.379156,9.975063,10.938158999999999,9.91163,9.451993,7.356561,6.945875999999999,6.436669,6.066928,5.382327,5.160286,4.604435,4.358729
31-2807139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.45835200000000004,0.9231159999999999,1.058115,1.660985,2.372751,2.9994,3.3154190000000003,3.6590800000000003,3.903229,4.430796,4.679628,5.36811,5.747180999999999,6.238913,6.6518559999999995,8.802491,9.260886,10.224982,9.670836999999999,10.110876,10.623864999999999,11.000193,12.425982000000001,11.008567999999999,10.612852,10.101064,9.664978999999999,9.260886,10.224982,9.198454,8.738816,6.643385,6.232699,5.723492,5.353751,4.66915,4.447108999999999,3.891258,3.645553
32-2807409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.464764,0.599763,1.202634,1.9143990000000002,2.541049,2.857068,3.200728,3.4448769999999995,3.9724449999999996,4.221277,4.909758,5.28883,5.780561,6.193504,8.34414,8.803533999999999,9.766630000000001,9.212485000000001,9.652524,10.165514,10.542841000000001,11.96663,10.551216,10.1545,9.641712,9.206628,8.803533999999999,9.766630000000001,8.740102,8.280465,6.185033,5.774348000000001,5.26514,4.8954,4.210799,3.9887580000000002,3.432907,3.187201
33-2807123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.134999,0.73787,1.449635,2.076285,2.392304,2.735964,2.9801130000000002,3.507681,3.7565129999999995,4.444994,4.824066,5.315797,5.72874,7.879376,8.337769999999999,9.300866000000001,8.747721,9.187761,9.69975,10.077077000000001,11.501866,10.085452,9.688736,9.176948,8.741864,8.337769999999999,9.300866000000001,8.275338,7.815701,5.720269,5.309584,4.800376,4.430636,3.746035,3.523994,2.968143,2.7224369999999998
34-2807121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.602871,1.3146360000000001,1.941286,2.257305,2.600965,2.845114,3.372682,3.621514,4.309995,4.689066,5.180798,5.5937410000000005,7.744377,8.202771,9.165867,8.612722,9.052761,9.564751,9.942078,11.366867,9.950453,9.553737,9.041949,8.606864999999999,8.202771,9.165867,8.140338999999999,7.680702,5.5852699999999995,5.174583999999999,4.665376999999999,4.295637,3.611036,3.3889949999999995,2.833144,2.587438
35-2806979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.711766,1.338415,1.654434,1.9980939999999998,2.242244,2.7698110000000002,3.018643,3.707124,4.086196,4.577927,4.99087,7.141506,7.6009009999999995,8.562997,8.010850999999999,8.449891000000001,8.96188,9.339207,10.764997,9.347583,8.950866,8.439079,8.004994,7.6009009999999995,8.562997,7.537468,7.077831,4.9824,4.571714,4.062507,3.692766,3.008165,2.786124,2.230273,1.984568
36-2807407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.626649,0.9426690000000001,1.286329,1.530478,2.058045,2.3068779999999998,2.995359,3.3744300000000003,3.866162,4.279105,6.429741,6.8891350000000005,7.851230999999999,7.299086,7.738125,8.250115,8.627442,10.052230999999999,8.635817,8.239101,7.7273130000000005,7.292228999999999,6.8891350000000005,7.851230999999999,6.825703,6.366065,4.270633999999999,3.859948,3.350741,2.981001,2.2964,2.074358,1.518508,1.272802
37-2806980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.316019,0.659679,0.9038290000000001,1.431396,1.6802279999999998,2.368709,2.7477810000000003,3.239512,3.652456,5.803091,6.262486,7.225582000000001,6.6724369999999995,7.112475999999999,7.624465,8.001792,9.426582000000002,8.009167999999999,7.6134520000000006,7.1016639999999995,6.666579,6.262486,7.225582000000001,6.199053,5.739416,3.643985,3.233299,2.7240919999999997,2.354351,1.66975,1.447709,0.891858,0.646153
