순번_정류장ID,64-2803210,65-2803361,66-2807344,67-2806484,68-2807326,69-2805694,70-2805636,71-2806053,72-2806032,73-2806025,74-2805697,75-2805699,76-2805701,77-2807440,78-2806806,79-2805704,80-2807625,81-2806162,82-2805635,83-2805633,84-2807037,85-2805631,86-2805677,87-2807428,88-2807429,89-2807521,90-2806171,91-2807223,92-2806160,93-2805528,94-2807269,95-2806830,96-2805759,97-2805529,98-2805839,99-2805561,100-2805340,101-2805841,102-2805450,103-2806913,104-2805580,105-2805332,106-2805742,107-2805229,108-2805231,109-2805400,110-2805038,111-2804895,112-2805911,113-2806732,114-2806730,115-2807462,116-2806214,117-2800622,118-2800627,119-2800336,120-2800653,121-2800656,122-2800661,123-2804967,124-2806938
84-2807037,,,,,,,,,,,,,,,,,,,,,0,0.332251,0.825361,1.8479400000000001,1.8533529999999998,11.170324,11.976801,13.874928,14.353376999999998,15.324411999999999,16.098075,16.46782,17.13955,17.386194,17.679698000000002,17.7432,17.670479999999998,17.777008,17.957817000000002,18.107678,17.668198999999998,17.367867,17.183475,17.382487,17.072938,17.184202,17.345442000000002,17.623433,17.884974,18.222843,18.702102,18.903157999999998,19.517544,19.807729000000002,20.142085,20.591169,20.561320000000002,20.380365,20.172749,20.083146,20.892779
85-2805631,,,,,,,,,,,,,,,,,,,,,,0,0.49311000000000005,1.516689,1.522102,10.838073,11.64455,13.542677,14.021126,14.99216,15.765823999999999,16.135569,16.807298,17.053943,17.347447,17.410949,17.338229000000002,17.444757,17.625566,17.776426999999998,17.337948,17.036616,16.853223999999997,17.050235999999998,16.740687,16.851951,17.013191,17.291182,17.552722,17.894592000000003,18.36985,18.570907000000002,19.189293,19.474478,19.813834,20.258917,20.233069,20.047114,19.843498,19.751894,20.561528
86-2805677,,,,,,,,,,,,,,,,,,,,,,,0,1.023579,1.028992,10.344963,11.15144,13.049567,13.528016000000001,14.49905,15.272714,15.642458999999999,16.314188,16.560833,16.854337,16.917839,16.845119,16.951647,17.132456,17.284317,16.844838,16.543506,16.360114000000003,16.557126,16.247577,16.358841,16.520081,16.798072,17.059613,17.397482,17.87274,18.077797,18.692183,18.977368,19.316724,19.761807,19.735959,19.552004,19.346388,19.253784,20.063418
87-2807428,,,,,,,,,,,,,,,,,,,,,,,,0,0.073413,10.036317,10.842794,12.740922,13.219370999999999,14.190404999999998,14.964069,15.333813000000001,16.005543,16.252188,16.545692000000003,16.609192999999998,16.536473,16.643001,16.823811,16.974671,16.534192,16.232860000000002,16.049469000000002,16.248479999999997,15.938931,16.050195000000002,16.211436,16.489427,16.750967000000003,17.088835999999997,17.564095000000002,17.769151,18.383538,18.673722,19.012079,19.457162,19.432314,19.243358999999998,19.035743,18.951139,19.760773
88-2807429,,,,,,,,,,,,,,,,,,,,,,,,,0,10.070971,10.877448,12.775575,13.254024,14.225059,14.998722,15.368467,16.040197,16.286841,16.580345,16.643847,16.571127,16.677654999999998,16.858464,17.009325,16.569846,16.269514,16.085122,16.283134,15.973585,16.084849,16.246089,16.524079999999998,16.785621,17.127489999999998,17.602749,17.807805,18.422191,18.704376,19.046732000000002,19.491816,19.465967000000003,19.281012,19.072395999999998,18.984793,19.791426
89-2807521,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.806477,2.704605,3.1830540000000003,4.154088,4.927752,5.297496,5.969226,6.215871,6.509375,6.572877,6.500156,6.606684,6.787494000000001,6.939354,6.496875,6.1975430000000005,6.0121519999999995,6.212162999999999,5.902614,6.013878,6.1751190000000005,6.45311,6.71865,7.056519000000001,7.527778,7.736834,8.348221,8.633405999999999,8.972762,9.421845,9.390997,9.205042,9.001425999999999,8.914822000000001,9.724456
90-2806171,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.8981279999999998,2.376577,3.347611,4.121275,4.4910190000000005,5.162749,5.409394,5.702898,5.766399,5.693679,5.800207,5.981016,6.131876999999999,5.692398000000001,5.389066000000001,5.207675,5.405686,5.096137000000001,5.207401,5.368641,5.646632,5.908173000000001,6.246042,6.7213009999999995,6.930357000000001,7.544744000000001,7.826928,8.169285,8.615368,8.585519999999999,8.401564,8.195948,8.105345,8.914978999999999
91-2807223,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.49344899999999997,1.4644840000000001,2.889148,3.258892,3.930622,4.177266,4.470771,4.5342720000000005,4.461551999999999,4.56808,4.748889,5.177658999999999,4.73618,4.436848,4.251457,4.463442,4.761991,4.940183,5.1014230000000005,5.379414,5.644955,5.982824,6.458083,6.663139,7.278525999999999,7.56371,7.903067,8.34815,8.322302,8.136346000000001,7.9307300000000005,7.840127000000001,8.649761
92-2806160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.121034,2.546698,2.916443,3.588172,3.8348169999999997,4.128321,4.191823,4.119103,4.225631,4.40644,5.004892,5.216629,4.915297,4.728905999999999,4.940891000000001,5.24044,5.418632,5.579873,5.857864,6.123404,6.461273,6.936532000000001,7.1415880000000005,7.755975,8.041159,8.380516,8.826599,8.799750999999999,8.614796,8.41018,8.318576,9.125210000000001
93-2805528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.424664,1.794409,2.466138,2.7127830000000004,3.006287,3.069789,2.997068,3.103597,3.2844059999999997,3.882858,4.225788,3.922456,3.739064,3.951049,4.253598,4.75379,4.950031,5.227022,5.497562,5.835432,6.31069,6.515747,7.131133,7.4163179999999995,7.755674000000001,8.200757000000001,8.174909,7.989953999999999,7.784338000000001,7.693734,8.503368
