순번_정류장ID,1-2800717,2-2805253,3-2805251,4-2805249,5-2800563,6-2807520,7-2807504,8-2804433,1-2806577,2-2804034,3-2804035,4-2804039,5-2805298,6-2804496,7-2804523,8-2804508,9-2804520,10-2805723,11-2800053,12-2800024,13-2800451,14-2800454,15-2800309,16-2800494,17-2805303,18-2800512,19-2800566,20-2800596,21-2803049,22-2802654,23-2807098,24-2802671,25-2803042,26-2803043,27-2803123,28-2803137,29-2802629,30-2802709,31-2802748,32-2802728,33-2802094,34-2802129,35-2802831
13-2800451,,,,,,,,,,,,,,,,,,,,,0.0,0.252877,2.228856,3.045511,4.767078,5.24794,7.3457669999999995,9.251494000000001,15.400301999999998,15.688804000000001,16.419014999999998,16.660352,16.366015,16.708515,17.249641,17.448142,17.305256,16.756228,18.261839000000002,18.137195000000002,19.440697,19.674497,20.35582
14-2800454,,,,,,,,,,,,,,,,,,,,,,0.0,1.9759790000000002,2.792634,4.514202,4.995063,7.09289,8.999617,15.148425,15.435928,16.166138,16.407475,16.113138,16.456638,16.995764,17.196265,17.053379,16.503351000000002,18.009961999999998,17.883318,19.187820000000002,19.42162,20.102944
15-2800309,,,,,,,,,,,,,,,,,,,,,,,0.0,0.8206559999999999,2.541223,3.0220849999999997,5.119911,7.025639,13.174447,13.463949,14.193159,14.434497,14.140158999999999,14.48366,15.022785999999998,15.220286999999999,15.079401,14.530372,16.034983999999998,15.90934,17.213841,17.451641,18.127965
16-2800494,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.720568,2.2014299999999998,4.299256,6.205983,12.354791,12.642294,13.372504000000001,13.613842000000002,13.319504,13.659004000000001,14.203130999999999,14.399631,14.259746,13.710717,15.216328,15.091685,16.394185999999998,16.627986,17.30931
17-2805303,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.483862,2.581688,4.4874160000000005,10.637224,10.925726,11.655936,11.896274,11.601936,11.942437,12.483563,12.682063000000001,12.542178,11.993149,13.498760999999998,13.374117000000002,14.675618,14.910418,15.590742
18-2800512,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.097827,4.003554,10.152362,10.440864,11.171074,11.411412,11.118075,11.460575,12.002701,12.199202,12.057316,11.508287,13.012899,12.890255,14.191757,14.428556,15.106879999999999
19-2800566,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.905727,8.054535000000001,8.344038000000001,9.073248,9.314586,9.018248,9.364747999999999,9.904874000000001,10.102375,9.959489,9.410461,10.917072000000001,10.789428,12.09393,12.32973,13.008054
20-2800596,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.149808,6.438311,7.167521000000001,7.409859,7.113521,7.456021000000001,7.997147,8.196648,8.054762,7.5057339999999995,9.010345,8.885701,10.190203,10.427003,11.104327
21-2803049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.288503,1.018713,1.26005,2.035713,2.378213,2.919339,2.543586,1.904954,1.355926,2.8615369999999998,3.749533,5.206395,6.090769,6.120519
22-2802654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.7302109999999999,0.971548,1.747211,2.089711,2.630837,2.4806630000000003,1.8420310000000002,1.2930030000000001,2.798614,3.68661,5.144472,6.043272,6.057596
