순번_정류장ID,55-2806423,56-2806421,57-2805953,58-2805650,59-2806076,60-2806907,61-2805881,62-2805657,63-2805658,64-2802147,65-2801852,66-2801854,67-2801895,68-2802108,69-2801822,70-2802019,71-2802005,72-2801932,73-2801908,74-2801715,75-2801690,76-2803662,77-2800166,78-2801632,79-2801643,80-2801646,81-2801664,82-2801678,83-2801183,84-2801685,85-2805307,86-2801700,87-2801706,88-2801713,89-2801720,90-2801737,91-2801748,92-2801751,93-2801746,94-2801725,95-2801708,96-2801694,97-2801196,98-2801657,99-2801618,100-2801596,101-2801188,102-2801469,103-2801430,104-2801376,105-2801345,106-2801331,107-2801344,108-2801357,109-2805405
79-2801643,,,,,,,,,,,,,,,,,,,,,,,,,0,0.094363,0.458028,0.713236,0.8838389999999999,1.140988,1.535786,1.6611639999999999,1.8808509999999998,2.067728,2.278098,2.62951,3.079996,3.32821,3.6661410000000005,3.8145860000000003,3.763808,4.011097,4.399232,4.7833440000000005,4.993156,5.07065,4.920732,5.242145,5.616207,6.141726,6.382694,6.393306,6.740995,7.032354,7.434292999999999
80-2801646,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.363666,0.618873,0.7894770000000001,1.046625,1.441423,1.566802,1.786488,1.973366,2.183735,2.535148,2.985633,3.233847,3.5717779999999997,3.7202230000000003,3.6704449999999995,3.9167349999999996,4.30587,4.688981,4.899794,4.976287,4.8253699999999995,5.147782,5.521844000000001,6.047363,6.2883309999999994,6.2989440000000005,6.646632,6.937991,7.339930000000001
81-2801664,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.255208,0.42581099999999994,0.68296,1.077758,1.203136,1.422823,1.6097,1.82007,2.171482,2.621968,2.870182,3.208113,3.481558,3.4317800000000003,3.6770699999999996,4.066204,4.450316,4.661129,4.863779,4.732704,5.054117,5.428179,5.953698,6.194666000000001,6.205278,6.552967,6.844326,7.246264999999999
82-2801678,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.170604,0.427752,0.82255,0.9479290000000001,1.167615,1.354493,1.564862,1.916275,2.366761,2.614974,2.952905,3.22635,3.175573,3.4218620000000004,3.810997,4.195108,4.404921,4.6085709999999995,4.4774970000000005,4.79891,5.1729709999999995,5.698491000000001,5.939458999999999,5.950071,6.297758999999999,6.589119,6.9910570000000005
83-2801183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.25714899999999996,0.651947,0.777325,0.9970120000000001,1.183889,1.394259,1.745671,2.196157,2.444371,2.782302,3.055747,3.005969,3.2522580000000003,3.641393,4.025505,4.235317,4.438968,4.306893,4.628305999999999,5.002368,5.527887000000001,5.768855,5.7794669999999995,6.127155999999999,6.418515,6.820454
84-2801685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.394798,0.520177,0.739863,0.926741,1.13711,1.488523,1.939009,2.187222,2.525153,2.798598,2.747821,2.99411,3.3832449999999996,3.768356,3.9771690000000004,4.181819,4.048744999999999,4.371158,4.7452190000000005,5.270739,5.511707,5.522319,5.870008,6.161367,6.563305000000001
85-2805307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.125379,0.345065,0.531943,0.742312,1.093725,1.54421,1.7924240000000002,2.1303549999999998,2.4038,2.354022,2.6003119999999997,2.9884470000000003,3.372558,3.5823709999999997,3.7870209999999997,3.950947,4.384359,4.758421,5.28394,5.524909,5.540521,5.888209,6.179568,6.581507000000001
86-2801700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.219687,0.406564,0.616934,0.9683459999999999,1.4188319999999999,1.6670459999999998,2.0049770000000002,2.278422,2.228644,2.474933,2.864068,3.24818,3.457992,3.661643,3.825568,4.2589809999999995,4.633043,5.158562,5.39953,5.4151419999999995,5.762830999999999,6.05419,6.456129
87-2801706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.186878,0.39724699999999996,0.74866,1.1991459999999998,1.447359,1.78529,2.058735,2.0089580000000002,2.2552470000000002,2.644382,3.028493,3.238306,3.441956,3.604882,4.039295,4.413355999999999,4.939875,5.179844,5.195456,5.543144,5.834503,6.236442
88-2801713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.210369,0.561782,1.012268,1.2604819999999999,1.5984129999999999,1.8718569999999999,1.82108,2.067369,2.4565040000000002,2.840616,3.0504279999999997,3.254079,3.4180040000000003,3.852417,4.226478,4.751998,4.992966,5.008578,5.356267,5.647626,6.049564
89-2801720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.35141300000000003,0.801899,1.0501120000000002,1.3880430000000001,1.876227,1.825449,2.071739,2.460873,2.844985,3.054798,3.258448,3.423374,3.857786,4.231848,4.7573669999999995,4.998335,5.0129470000000005,5.360636,5.651994999999999,6.053934
90-2801737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.45048599999999994,0.6987,1.0366309999999999,1.5590760000000001,1.8072979999999998,2.053587,2.4427220000000003,2.826834,3.0366459999999997,3.240297,3.613222,4.048635,4.422697,4.947216,5.189184,5.36436,5.7120489999999995,6.003408,6.405346
91-2801748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.262214,0.6001449999999999,1.1215899999999999,1.369812,1.6161020000000001,2.005236,2.389348,2.599161,2.802811,3.1767369999999997,3.6111489999999997,3.985211,4.510730000000001,4.751698,5.001311,5.348999,5.641358,6.0422970000000005
92-2801751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.337931,0.859376,1.1075979999999999,1.353888,1.743023,2.127134,2.3369470000000003,2.540597,2.914523,3.348936,3.7229970000000003,4.248516,4.489485,4.7400970000000004,5.086785,5.378144,5.780083
93-2801746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.5214449999999999,0.769667,1.015957,1.405091,1.7892029999999999,1.999016,2.202666,2.5765919999999998,3.0110040000000002,3.385066,3.9105849999999998,4.151553,4.402166,4.748854,5.040213,5.442152
94-2801725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.248223,0.494512,0.883647,1.267758,1.477571,1.6812209999999999,2.0551470000000003,2.48956,2.8636209999999997,3.3891410000000004,3.6301089999999996,3.879721,4.22741,4.518769,4.921707
95-2801708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.24629,0.635425,1.019536,1.229349,1.432999,1.806925,2.2413369999999997,2.615399,3.140918,3.381886,3.6324989999999997,3.9801870000000004,4.271546,4.6734849999999994
96-2801694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.389135,0.773247,0.983059,1.18671,1.560635,1.995048,2.369109,2.894629,3.135597,3.3852089999999997,3.7328980000000005,4.0242569999999995,4.426195
97-2801196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.384112,0.593924,0.797575,1.1715,1.605913,1.979975,2.5054939999999997,2.7464619999999997,2.997074,3.344763,3.635122,4.0370610000000005
98-2801657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.210813,0.414463,0.788389,1.222801,1.596863,2.122382,2.36335,2.613963,2.960651,3.25201,3.654949
99-2801618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.203651,0.577576,1.011989,1.38605,1.91157,2.1525380000000003,2.40315,2.750839,3.042198,3.444136
100-2801596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.37392600000000004,0.808339,1.1824,1.707919,1.9488880000000002,2.1985,2.5471880000000002,2.8375470000000003,3.240486
101-2801188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.434413,0.808475,1.3339940000000001,1.574962,1.8245740000000001,2.172263,2.463622,2.865561
102-2801469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.374062,0.899581,1.140549,1.390161,1.73785,2.029209,2.4321479999999998
103-2801430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.52552,0.7664880000000001,1.0171,1.363789,1.655148,2.057086
104-2801376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.240968,0.49158100000000005,0.839269,1.130628,1.532567
105-2801345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.250612,0.598301,0.88966,1.291599
106-2801331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.34868899999999997,0.640048,1.041987
107-2801344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.29135900000000003,0.693298
108-2801357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.401939
109-2805405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
