순번_정류장ID,1-2807634,2-2806815,3-2805755,4-2805756,5-2807636,6-2800317,7-2804990,8-2807301,9-2803514,10-2803080,11-2803077,12-2803101,13-2805595,14-2803123,15-2803131,16-2803137,17-2805441,18-2802629,19-2802719,20-2802709,21-2802718,22-2802712,23-2802625,24-2802694,25-2802673,26-2802039,27-2801999,28-2801977,29-2802024,30-2802051,31-2802098,32-2802129,33-2802158,34-2802168,35-2802175,36-2801848,37-2802825,38-2802870,39-2802906,40-2802937,41-2802951,42-2802958,43-2802439,44-2802476,45-2806240,46-2804421,47-2805309,48-2805206,49-2805004,50-2806095,51-2804866,52-2805586,53-2805058,54-2805396,55-2804872,56-2803519,57-2802348,58-2802345,59-2802359,60-2803795,61-2804906,62-2805203,63-2803769,64-2806756,65-2807088,66-2806766,67-2806758,68-2806755
52-2805586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.21459,0.441543,0.948707,1.4069969999999998,1.621833,2.276711,2.924788,2.810466,2.5165450000000003,2.928498,3.078128,3.219809,2.7242669999999998,2.8136490000000003,2.4199200000000003,1.830734
53-2805058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.22695300000000002,0.734117,1.192407,1.4082430000000001,2.063122,2.711199,2.5958759999999996,2.301955,2.713909,2.863538,3.00522,2.938857,2.8770599999999997,2.483331,1.616144
54-2805396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.5071640000000001,0.965454,1.18029,1.836169,2.4842459999999997,2.368923,2.075002,2.486956,2.6365849999999997,2.778266,2.980191,2.651107,2.257377,1.389191
55-2804872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.45829,0.699126,1.354005,2.002082,1.861759,1.5678379999999998,1.9797919999999998,2.129421,2.270102,2.472027,2.142943,1.7492130000000001,0.882027
56-2803519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.24083600000000002,0.8957149999999999,1.543792,1.530469,1.236548,1.649502,2.203125,2.344806,2.5467299999999997,2.217646,1.8239169999999998,0.956731
57-2802348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.654879,1.302956,1.289634,0.996713,1.407666,2.0400400000000003,2.427977,2.6309009999999997,2.301817,1.908088,1.039902
58-2802345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.649077,0.8321770000000001,0.5382560000000001,0.95021,1.581584,2.13352,2.422445,2.0933610000000002,1.8386310000000001,0.9714450000000001
59-2802359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.362747,0.656667,1.35271,1.984084,2.536021,2.824945,2.495861,2.276132,1.619522
60-2803795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.293921,1.0319639999999999,1.6633380000000002,2.215275,2.505199,2.1761150000000002,1.955386,1.323732
61-2804906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.738043,1.369417,1.921354,2.2102779999999997,1.8811939999999998,1.662465,1.029811
62-2805203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.631374,1.183311,1.676235,1.8028529999999998,1.9574189999999998,1.441765
63-2803769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.550937,1.0438610000000001,1.170479,1.544208,1.590394
64-2806756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.493925,0.620542,1.0142719999999998,1.733075
65-2807088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.329085,0.7228140000000001,1.646467
66-2806766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.39373,1.318383
67-2806758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9246540000000001
68-2806755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
