순번_정류장ID,1-2807634,2-2806815,3-2807449,4-2800722,5-2800307,6-2800758,7-2800744,8-2807056,9-2800799,10-2800804,11-2803056,12-2802651,13-2802638,14-2802667,15-2802631,16-2802668,17-2807082,18-2807083,19-2802718,20-2802712,21-2802708,22-2802731,23-2802755,24-2802776,25-2802813,26-2802853,27-2802903,28-2802942,29-2805766,30-2802438,31-2803517,32-2802427,33-2802466,34-2806692,35-2805389,36-2802541,37-2802547,38-2802552,39-2802564,40-2807041,41-2804851,42-2803664,43-2804436,44-2806047,45-2807360,46-2807168,47-2806724,48-2805770,49-2806725,50-2805822,51-2805054,52-2803769,53-2806756,54-2807087
21-2802708,,,,,,,,,,,,,,,,,,,,,0,0.36495,0.6244930000000001,1.0329629999999999,1.4999069999999999,1.7437599999999998,2.223974,2.526541,4.5930290000000005,4.784406,5.1006860000000005,5.787598,6.1788940000000006,6.3378879999999995,6.067172,6.350117,6.531184,6.709696000000001,7.1205169999999995,7.471989999999999,8.282719,9.518235,10.358257,11.212422,11.483619000000001,11.850868,12.239868,12.148711,11.940839,11.708960000000001,11.100032,10.846534,10.988215,11.186407
22-2802731,,,,,,,,,,,,,,,,,,,,,,0,0.25954299999999997,0.668013,1.1359569999999999,1.37881,1.8600240000000001,2.162591,4.228079,4.418457,4.735736,5.422648000000001,5.812945,5.972938,5.703222,5.985167,6.167234,6.345746,6.7565669999999995,7.107041000000001,7.917769,9.153285,9.995307,10.848472000000001,11.120669,11.486918,11.875917999999999,11.784761,11.576889,11.34401,10.736082000000001,10.482584,10.624266,10.822457
23-2802755,,,,,,,,,,,,,,,,,,,,,,,0,0.41047,0.8784129999999999,1.121267,1.602481,1.9050479999999999,3.970536,4.161912999999999,4.478193,5.166105,5.556401,5.715395,5.445679,5.727624,5.9096910000000005,6.088203,6.4990239999999995,6.850497,7.661225999999999,8.895742,9.737764,10.590929,10.863125,11.229374,11.618375,11.528217999999999,11.319346000000001,11.087467,10.478539,10.225041000000001,10.366722,10.565914
24-2802776,,,,,,,,,,,,,,,,,,,,,,,,0,0.46794399999999997,0.7107979999999999,1.192012,1.494578,3.5600669999999996,3.7504440000000003,4.0667230000000005,4.754636,5.144932,5.303926000000001,5.03521,5.317154,5.4992209999999995,5.676734,6.088555,6.440028,7.250756,8.485272,9.326294,10.17946,10.452656,10.817905,11.207905,11.117749,10.907877000000001,10.676997,10.068069,9.815572,9.957253,10.154444
25-2802813,,,,,,,,,,,,,,,,,,,,,,,,,0,0.242854,0.724068,1.026635,3.092123,3.2835,3.5997790000000003,4.2866919999999995,4.676988,4.837982,4.566266000000001,4.848211,5.030278,5.2087900000000005,5.619611,5.971083999999999,6.782812,8.016328999999999,8.858350999999999,9.711516,9.983711999999999,10.350961,10.738961999999999,10.648805,10.439933,10.208053999999999,9.599126,9.345628,9.488309,9.685501
26-2802853,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.48621400000000004,0.7887810000000001,2.854269,3.0446459999999997,3.361925,4.048838,4.440134,4.598128,4.328412,4.611357,4.792424,4.969936,5.382757,5.73423,6.544958,7.778475,8.621497,9.474662,9.746858,10.112107,10.501108,10.411951,10.203078999999999,9.9712,9.362272,9.108774,9.250455,9.448647
27-2802903,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.30256700000000003,2.368055,2.559432,2.8747119999999997,3.563624,3.953921,4.113914,3.8421980000000002,4.124143,4.30621,4.485722,4.895543,5.247017,6.057745,7.292261,8.134283,8.987447999999999,9.259644999999999,9.626894,10.014894,9.924737,9.715864999999999,9.483986,8.876058,8.62256,8.764242,8.961433
28-2802942,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.066489,2.256866,2.5731450000000002,3.2610580000000002,3.651354,3.8103480000000003,3.540632,3.822576,4.004643,4.183155999999999,4.593977,4.94545,5.756178,6.990694,7.832717,8.685882000000001,8.958078,9.324327,9.713327,9.623171000000001,9.414299,9.182419,8.573491,8.319994,8.462675,8.659866000000001
29-2805766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.191377,0.507657,1.195569,1.5858649999999999,1.745859,1.754389,2.0363330000000004,2.2184009999999996,2.396913,2.807734,3.159207,3.969935,5.204452,6.046474,6.899639,7.171835000000001,7.538084,7.927084,7.8369279999999995,7.628056,7.396176,6.787248,6.534751,6.676432000000001,6.873622999999999
30-2802438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.316279,1.004192,1.394488,1.553482,1.9457659999999999,2.2277099999999996,2.4097779999999998,2.58829,2.999111,3.3505839999999996,4.161312000000001,5.395829,6.237851,7.091016000000001,7.363212,7.729461,8.118461,8.028305,7.819433,7.587553999999999,6.978625999999999,6.725128,6.866809,7.065001
31-2803517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.688913,1.079209,1.239203,1.7934869999999998,2.102431,2.285499,2.463011,2.934832,3.226305,4.098033,5.58605,6.427072,7.282236999999999,7.554433,7.918682,8.309682,8.343584,8.134712,7.902833,7.2939050000000005,7.041407,7.183088000000001,7.38028
32-2802427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.390296,0.54929,1.103574,1.413519,1.595586,1.774098,2.2459189999999998,2.5363919999999998,3.40812,4.895137,5.738159,6.591324,6.86252,7.229769,7.61877,7.679113,7.470241000000001,7.4482550000000005,7.7454339999999995,7.492936,7.6346169999999995,7.832808999999999
33-2802466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.158994,0.713278,1.0232219999999999,1.20529,1.382802,1.856623,2.146096,3.018824,4.505841,5.347862999999999,6.201028,6.473224,6.839473,7.228472999999999,7.288817,7.0799449999999995,7.057958999999999,7.424136999999999,7.171639999999999,7.313321000000001,7.511512
34-2806692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.554284,0.8642290000000001,1.046296,1.223808,1.6966290000000002,1.9871020000000001,2.8588299999999998,4.345847,5.189869,6.041034,6.31423,6.6814789999999995,7.06948,7.1308229999999995,6.921950999999999,6.897964999999999,7.264144,7.010646,7.153327,7.351519000000001
