순번_정류장ID,1-2807209,2-2807287,3-2803338,4-2803336,5-2803326,6-2803324,7-2803329,8-2803204,9-2803316,10-2803319,11-2803305,12-2802994,13-2803011,14-2803018,15-2803022,16-2803021,17-2802976,18-2802957,19-2802933,20-2802911,21-2802891,22-2802879,23-2802621,24-2802809,25-2802773,26-2802745,27-2802737,28-2805441,29-2802629,30-2802719,31-2802709,32-2802678,33-2802656,34-2803050,35-2800814,36-2800793,37-2800785,38-2800766,39-2800748,40-2800721,41-2800703,42-2800699,43-2800693,44-2800683,45-2800675,46-2800662,47-2800650,48-2800641,49-2800632,50-2800334,51-2800617,52-2806242,53-2806244,54-2801157,55-2801153,56-2801147,57-2801135,58-2801131,59-2801122,60-2801119,61-2801111,62-2800833,63-2801087,64-2801055,65-2801043,66-2801024,67-2801003,68-2806687,69-2800966
44-2800683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.357172,0.679714,0.925041,1.067234,1.3376629999999998,1.6195110000000001,1.975239,3.156891,3.469729,3.7401,3.9034230000000005,4.139851999999999,4.712614,4.927797,5.368874,5.566948,5.776180999999999,6.186915,6.356488,7.034857000000001,7.562424000000001,7.947849000000001,8.314602,8.67112,8.831673
45-2800675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.322542,0.567869,0.710062,0.980491,1.2623389999999999,1.618067,2.799719,3.112557,3.3829279999999997,3.5462510000000003,3.7836800000000004,4.354442,4.569625,5.011702,5.208776,5.419009,5.829743,5.999316,6.677685,7.205252000000001,7.590677,7.9574300000000004,8.312948,8.475502
46-2800662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.245327,0.38752,0.657949,0.9397969999999999,1.295525,2.477177,2.7900150000000004,3.0603860000000003,3.222709,3.4601379999999997,4.0329,4.247083,4.68816,4.886234,5.096467,5.506201,5.675774,6.354143,6.881710000000001,7.268135000000001,7.634888,7.989406,8.15196
47-2800650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.142193,0.412621,0.69447,1.050198,2.231849,2.5446880000000003,2.815059,2.977382,3.214811,3.786573,4.001755999999999,4.442833,4.640907,4.850140000000001,5.260873999999999,5.430447,6.108815,6.636383,7.021808,7.388561,7.744078999999999,7.906632000000001
48-2800641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.270429,0.5522779999999999,0.908005,2.089657,2.402495,2.673866,2.836189,3.073618,3.6453800000000003,3.8605629999999995,4.30164,4.499714,4.708947,5.119681,5.289254,5.967623000000001,6.49519,6.880615,7.247367999999999,7.603886,7.765439999999999
49-2800632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.28184899999999996,0.637576,1.8192279999999998,2.1320669999999997,2.403438,2.56576,2.8031900000000003,3.3749510000000003,3.5901339999999995,4.031212,4.229286,4.438518,4.849253,5.018825,5.6971940000000005,6.224762,6.610186,6.976939,7.333457000000001,7.495011
50-2800334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.35572800000000004,1.537379,1.850218,2.120589,2.282912,2.520341,3.092103,3.307286,3.748363,3.9464370000000004,4.1556690000000005,4.566404,4.735977,5.415344999999999,5.941913,6.328338,6.694089999999999,7.050609,7.212161999999999
51-2800617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.1816520000000001,1.4944899999999999,2.0089930000000003,2.1713150000000003,2.408745,2.980506,3.195689,3.636766,3.8348410000000004,4.044073,4.454808,4.62438,5.3027489999999995,5.830316000000001,6.215741,6.5824940000000005,6.939012,7.100566000000001
52-2806242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.312839,1.109356,1.536533,1.7739619999999998,2.345724,2.560907,3.001984,3.2000580000000003,3.40929,3.820025,3.9895980000000004,4.667966000000001,5.195533999999999,5.580959,5.947711,6.30323,6.465783
53-2806244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.796517,1.223694,1.461123,2.032885,2.248068,2.689145,2.887219,3.096452,3.507186,3.6767589999999997,4.355128,4.882695,5.26812,5.634873000000001,5.991391,6.152944000000001
54-2801157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.42717700000000003,0.664606,1.236367,1.45155,1.892628,2.090702,2.299934,2.7106689999999998,2.880242,3.55861,4.086178,4.471603,4.838355,5.193873,5.356427
