순번_정류장ID,45-2803210,46-2803361,47-2803180,48-2803295,49-2803292,50-2803649,51-2803284,52-2803290,53-2803297,54-2803310,55-2805831,56-2803190,57-2807053,58-2805813,59-2805149,60-2807040,61-2806036,62-2807341,63-2807344,64-2806484,65-2807326,66-2805694,67-2805636,68-2806053,69-2806032,70-2806025,71-2805697,72-2805699,73-2805701,74-2805638,75-2806605,76-2806538,77-2803160,78-2805975,79-2803158,80-2803654,81-2806162,82-2805635,83-2805633,84-2807037,85-2805631,86-2805677
76-2806538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.819773,1.5057989999999999,1.7687,2.149492,2.431204,2.745573,3.386626,3.7165550000000005,4.048806,4.5419160000000005
77-2803160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.707026,0.969928,1.350719,1.776377,2.090745,2.731798,3.061727,3.3939779999999997,3.887088
78-2805975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.262901,0.6436930000000001,1.06935,1.3837190000000001,2.024772,2.354701,2.6869520000000002,3.180062
79-2803158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.380792,0.806449,1.120818,1.761871,2.091799,2.42405,2.917161
80-2803654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.427658,0.7420260000000001,1.3830790000000002,1.713008,2.045259,2.538369
81-2806162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.314369,0.9554219999999999,1.29035,1.622602,2.115712
82-2805635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.641053,0.975982,1.308233,1.8013430000000001
83-2805633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.334929,0.66718,1.16029
84-2807037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.332251,0.825361
85-2805631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.49311000000000005
86-2805677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
