순번_정류장ID,1-2803524,2-2803525,3-2803769,4-2804876,5-2803770,6-2805655,7-2802347,8-2802346,9-2802602,10-2802599,11-2802592,12-2802589,13-2802362,14-2802595,15-2802598,16-2802587,17-2802580,18-2802578,19-2803629,20-2802575,21-2802567,22-2802557,23-2802554,24-2802559,25-2802568,26-2802551,27-2802538,28-2802375,29-2802507,30-2802502,31-2802492,32-2802510,33-2802518,34-2802493,35-2802471,36-2805716,37-2802464,38-2802451,39-2802426,40-2803019,41-2802965,42-2802959,43-2802964,44-2802971,45-2802954,46-2802913,47-2805151,48-2802862,49-2802829,50-2802814,51-2802801,52-2802783,53-2802757,54-2802738,55-2802728,56-2802721,57-2802123,58-2802116,59-2802112,60-2802094,61-2802067,62-2802056,63-2802050,64-2802046,65-2802029,66-2802013,67-2801989,68-2801958,69-2801948,70-2801942,71-2801921,72-2801927,73-2801924,74-2801916,75-2801925,76-2801908,77-2801715,78-2801690,79-2803662,80-2800164
21-2802567,,,,,,,,,,,,,,,,,,,,,0,0.457704,0.774636,1.19812,1.874324,2.508349,3.239911,3.5432,3.7287169999999996,3.953962,4.296747,4.0199,3.903861,4.025975,3.7074059999999998,3.87296,4.102526,4.438265,4.739689,5.732481,6.1784349999999995,6.631252000000001,6.243481,5.724989,5.728276999999999,5.822094,5.987481,6.299069,6.5413879999999995,6.181801999999999,5.874117,5.852481,6.322316000000001,6.697647999999999,7.199300999999999,7.525386999999999,7.778752000000001,7.9494419999999995,8.117146,8.241799,8.096655,8.395634,8.731839,8.853481,9.235565,9.696659,10.133172,10.371433999999999,10.697335,10.869480000000001,11.18604,11.529025,11.664642,11.778048,11.31446,12.057472,12.952592,13.432360000000001,14.008014999999999,14.558407999999998
22-2802557,,,,,,,,,,,,,,,,,,,,,,0,0.31793299999999997,0.741416,1.41762,2.051645,2.783207,3.085496,3.2720130000000003,3.496258,3.839043,3.563196,3.447157,3.569271,3.251702,3.4162559999999997,3.6468220000000002,3.982561,4.2839849999999995,5.275777,5.721731,6.174548000000001,5.787776999999999,5.268286,5.271573,5.36639,5.531777,5.843365,6.085684,5.725098,5.417413,5.396776999999999,5.866612,6.2429440000000005,6.743597,7.069683,7.322048,7.492738,7.661442,8.182459,8.224397999999999,8.524376,8.860581,8.982223,9.364307,9.825402,10.261913999999999,10.500176,10.827077000000001,10.998222,11.313782000000002,11.657767,11.793384,11.906789999999999,11.443202000000001,12.185214,13.082334,13.562103,14.137757,14.508204000000001
23-2802554,,,,,,,,,,,,,,,,,,,,,,,0,0.42448400000000003,1.1006879999999999,1.7347130000000002,2.466275,2.769564,2.95608,3.180326,3.524111,3.246264,3.130225,3.2513389999999998,2.93377,3.099324,3.3288900000000003,3.664629,3.967053,4.958844999999999,5.404799,5.856616000000001,5.469844999999999,4.950353,4.953641,5.0494580000000004,5.213845,5.5254330000000005,5.767752,5.4081660000000005,5.100480999999999,5.079845,5.54868,5.926012,6.425665,6.753750999999999,7.004116000000001,7.174805999999999,7.3445100000000005,7.864527000000001,7.976019,8.274998,8.611203,8.733845,9.114929,9.578023,10.013536,10.250797,10.578699,10.750844,11.066403999999999,11.409389,11.545005999999999,11.962411999999999,11.498824,12.240836,13.136956,13.617723999999999,13.906811,14.190272
24-2802559,,,,,,,,,,,,,,,,,,,,,,,,0,0.681204,1.315229,2.046791,2.3500799999999997,2.535597,2.759842,3.103627,2.82678,2.710741,2.9258669999999998,2.9895650000000002,3.154118,3.3846839999999996,3.720424,3.5465690000000003,4.538361,4.9843150000000005,5.47459,5.525639,5.0061480000000005,5.009436,5.104252,5.26964,5.581228,5.823546,5.46296,5.155275,5.134639,5.603473999999999,5.979806,6.480459,6.808545,7.060910000000001,7.2316,7.400303999999999,7.921321000000001,8.031814,8.330793,8.666997,8.789639,9.170722999999999,9.632817999999999,10.06933,10.306592,10.633494,10.805639,11.121198,11.464183,11.5998,12.018206,11.554618,12.29663,13.19275,13.672519,13.961606,14.246067000000002
25-2802568,,,,,,,,,,,,,,,,,,,,,,,,,0,0.634025,1.365588,1.667876,1.854393,2.078639,2.4224240000000004,2.1455759999999997,2.029538,2.2446639999999998,2.562232,2.7716790000000002,2.789203,3.124942,2.866366,3.858158,4.304112,4.793387,4.880158,5.400649,5.529954,5.779456,5.945843,6.256431,6.49875,6.138164,5.830479,5.809843,6.279678,6.65601,7.156662,7.483747999999999,7.736114,7.907804,8.075507,8.595525,8.708017,9.006996000000001,9.3442,9.465843,9.846927,10.309021000000001,10.744534,10.981795,11.309697,11.480841999999999,11.797402,12.139387,12.275004,12.69341,12.229822,12.972833999999999,13.868953,14.347722000000001,14.637808999999999,14.921270000000002
26-2802551,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.7632979999999999,1.065587,1.252103,1.477349,1.820134,1.543287,1.4272479999999999,1.6423740000000002,1.959943,2.169389,2.186913,2.522652,2.2640759999999998,3.255868,3.701822,4.191097,4.277868,4.798359,4.926664,5.234255,5.477868,5.790456,6.132961,6.493547,6.465504,6.444868,6.914703,7.291035000000001,7.790688,8.117773,8.371139,8.541829,8.710533,9.23155,9.342042,9.642021000000002,9.976225,10.099867999999999,10.480952,10.943046,11.379559,11.61682,11.942722,12.115867,12.431427000000001,12.774412,12.910029,13.328435,12.863847,13.606859,14.502978,14.982747,15.271834,15.556295
27-2802538,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.302289,0.488806,0.713051,1.056836,0.9481510000000001,1.05281,1.267936,1.585505,1.489091,1.506615,1.842355,1.499778,2.4915700000000003,2.937525,3.426799,3.5135699999999996,4.0340620000000005,4.163366000000001,4.469957,4.71357,5.0251589999999995,5.368663,5.729248999999999,6.036934,6.11043,6.5792649999999995,6.956597,7.45725,7.784336,8.036700999999999,8.207391000000001,8.376095,8.896111999999999,9.007605,9.306583,9.642788000000001,9.76543,10.146514,10.608608,11.045121,11.282383,11.609283999999999,11.781429,12.096989,12.439974000000001,12.575591000000001,12.993997,12.530408999999999,13.272421,14.168541000000001,14.64831,14.937397,15.221857
28-2802375,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.18651700000000002,0.410763,0.753548,0.7633,1.0280989999999999,1.243225,1.405794,1.30424,1.321764,1.569066,1.198489,2.190281,2.6362360000000002,3.125511,3.212281,3.7317730000000005,3.8620769999999998,4.168669,4.412281,4.72387,5.067375,5.427961,5.735645,5.930719,6.4005540000000005,6.675447999999999,7.176100999999999,7.518186999999999,7.770552,7.942242,8.110946,8.631963,8.828892999999999,9.127872,9.464075999999999,9.585719000000001,9.966803,10.428897000000001,10.86541,11.102671,11.429573,11.601718,11.917278,12.260263,12.39588,12.814286,12.350698,13.09271,13.988829999999998,14.468598000000002,14.673248000000001,14.957709
29-2802507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.224246,0.5670310000000001,0.949817,1.214616,1.168259,1.28684,1.185286,1.15272,1.382549,1.010973,2.003765,2.449719,2.9389939999999997,3.0257650000000003,3.5462559999999996,3.675561,3.9821519999999997,4.225765,4.5373529999999995,4.880858,5.241444,5.549129,5.811765,6.281599,6.488932,6.989584,7.332669999999999,7.586036,7.756726,7.924428999999999,8.445447,8.709939,9.008918,9.344122,9.466764999999999,9.847849,10.309942999999999,10.746456,10.983717,11.310619,11.482764,11.798324000000001,12.141309,12.276926,12.695332,12.231744,12.973756,13.869875,14.349644,14.486730999999999,14.770192000000002
30-2802502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.343785,0.7311,0.995899,0.9450129999999999,1.0635940000000002,0.96204,0.979564,1.315303,1.1236899999999999,2.116482,2.562436,3.050711,3.137482,3.6589730000000005,3.7872779999999997,4.093869000000001,4.337482,4.64907,4.993575,5.353161,5.609155,5.588519,6.0583540000000005,6.434686,6.934339,7.262424,7.513789999999999,7.684480000000001,7.853184,8.375200999999999,8.486692999999999,8.785672,9.121876,9.243519000000001,9.624603,10.086697000000001,10.52321,10.760471,11.087373,11.259518,11.575078,11.918063,12.05368,12.472086000000001,12.008498,12.75051,13.646629,14.126398000000002,14.415485,14.699945999999999
31-2802492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.390315,0.6551140000000001,0.604228,0.722809,0.621255,0.638779,0.974518,1.3685260000000001,2.458266,2.905221,3.393496,3.481266,4.000758,4.130063,4.436654,4.680267,4.991855,5.33536,5.576055,5.26837,5.2477339999999995,5.717569,6.093901,6.594552999999999,6.921639,7.173005,7.343694999999999,7.513399000000001,8.033416,8.144908000000001,8.443887,8.780091,8.902733999999999,9.283818,9.745911999999999,10.182425,10.419686,10.746588000000001,10.918733,11.234293,11.577278,11.712895,12.131300999999999,11.667713000000001,12.409725,13.305844,13.785613,14.0747,14.359160999999999
