순번_정류장ID,70-2800995,71-2801013,72-2801023,73-2801040,74-2801052,75-2801103,76-2801113,77-2801116,78-2801121,79-2801130,80-2801134,81-2801144,82-2801152,83-2801156,84-2806243,85-2800368,86-2800320,87-2800642,88-2800664,89-2800333,90-2800681,91-2800689,92-2800701,93-2800704,94-2800726,95-2800751,96-2800765,97-2800782,98-2800797,99-2800813,100-2803049,101-2807107,102-2802658,103-2802680,104-2802707,105-2802715,106-2802729,107-2805440,108-2802736,109-2802753,110-2805791,111-2802789,112-2802810,113-2802859,114-2802877,115-2802883,116-2802900,117-2802928,118-2802622,119-2802979,120-2803014,121-2803023,122-2803016,123-2803009,124-2803000,125-2803300,126-2803308,127-2803318,128-2803315,129-2803321,130-2803327,131-2803325,132-2803332,133-2803339,134-2807286
90-2800681,,,,,,,,,,,,,,,,,,,,,0,0.35586100000000004,0.6700149999999999,0.995172,1.352135,1.77027,1.954635,2.4163669999999997,2.696409,3.323801,3.6769230000000004,3.980314,4.128821,4.464804,5.011312,5.234707,5.742395,5.931627,5.989737,6.0802309999999995,6.316502,6.637592999999999,6.860058,7.4637199999999995,7.671360000000001,7.949256,8.216325999999999,8.455117,8.731111,8.943635,9.372879,9.287732,9.069499,8.906117,8.751311,8.812937,8.867135000000001,9.387298,10.145328,10.698334,10.994978999999999,11.268443,11.686860000000001,11.903182000000001,11.841448
91-2800689,,,,,,,,,,,,,,,,,,,,,,0,0.314154,0.639311,0.996274,1.414409,1.598775,2.060506,2.340548,2.96794,3.3210620000000004,3.624453,3.77296,4.108943,4.655451,4.878847,5.386535,5.575766000000001,5.632877,5.72337,5.960641000000001,6.279732,6.502197,7.106859,7.315499000000001,7.5913949999999994,7.858465,8.097256,8.37425,8.585774,9.017019,8.931871000000001,8.712638,8.548256,8.39445,8.456077,8.510275,9.032437,9.788467,10.342474000000001,10.639118,10.912582,11.328999000000001,11.546322,11.485586999999999
92-2800701,,,,,,,,,,,,,,,,,,,,,,,0,0.32515700000000003,0.68212,1.100255,1.28462,1.7463520000000001,2.026394,2.653786,3.006908,3.3102989999999997,3.4588059999999996,3.7947889999999997,4.341297,4.564692,5.07238,5.261612,5.458482,5.548976000000001,5.785247,6.105338,6.327803,6.932465,7.1411039999999995,7.415,7.6820699999999995,7.921862,8.197855,8.41238,8.839624,8.757477,8.538243,8.374862,8.220055,8.280682,8.33588,8.856043,9.615072999999999,10.166079,10.464724,10.738188000000001,11.153605,11.371927000000001,11.309192999999999
93-2800704,,,,,,,,,,,,,,,,,,,,,,,,0,0.35696300000000003,0.775098,0.959463,1.421195,1.7012369999999999,2.3286290000000003,2.68175,2.9851419999999997,3.133649,3.469632,4.01614,4.239535,4.747223,4.9364550000000005,5.277361,5.552059,5.7893300000000005,6.109421,6.3308860000000005,6.935548,7.144187,7.420083999999999,7.687154,7.926945,8.202939,8.415463,8.844707000000001,8.76056,8.541327,8.377945,8.223139,8.326161,8.661037,9.1812,9.94023,10.492236,10.788881,11.063345,11.480762,11.697084,11.63635
94-2800726,,,,,,,,,,,,,,,,,,,,,,,,,0,0.418134,0.6025,1.064231,1.344274,1.971666,2.3247869999999997,2.6281779999999997,2.776686,3.112669,3.6591769999999997,3.882572,4.39026,4.579492,4.9203980000000005,5.1950959999999995,5.432367,5.752458,5.973923,6.578585,6.787224,7.063121000000001,7.330189999999999,7.569982,7.845975999999999,8.0585,8.487744000000001,8.404597,8.184364,8.021982000000001,7.866175999999999,7.969198,8.332,8.854163,9.612193,10.164199,10.460844,10.734308,11.151725,11.369047,11.307313
95-2800751,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.184366,0.646097,0.9261389999999999,1.553532,1.906653,2.210044,2.358552,2.694534,3.241043,3.464438,3.9721260000000003,4.161358,4.502264,4.776962,5.014233,5.334324,5.555789,6.160451,6.36909,6.644986,6.912056,7.151847,7.427841,7.640366,8.06961,7.985463,7.766228999999999,7.603847999999999,7.448041,7.551064,7.914866,8.436029,9.193059,9.747065,10.04371,10.317174000000001,10.734591,10.949913,10.890179
96-2800765,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.461732,0.7417739999999999,1.3691659999999999,1.722288,2.0256790000000002,2.174186,2.510169,3.056677,3.280072,3.78776,3.9769919999999996,4.3178980000000005,4.592596,4.829867,5.149958,5.371423,5.976084999999999,6.184725,6.460621,6.727691,6.967482,7.243475999999999,7.456,7.885244,7.802097,7.582864,7.419482,7.263675999999999,7.3666979999999995,7.7295,8.251663,9.008693,9.562699,9.858344,10.132808,10.549225,10.765547,10.704813
97-2800782,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.280042,0.909435,1.262556,1.565947,1.7144549999999998,2.050437,2.596946,2.820341,3.328029,3.517261,3.858167,4.132865,4.3701360000000005,4.690226999999999,4.9116919999999995,5.516354,5.724993,6.000889,6.267958999999999,6.50775,6.783744,6.996269,7.4255130000000005,7.341366000000001,7.122132000000001,6.9587509999999995,6.803944,6.906967,7.2707690000000005,7.791932000000001,8.549961999999999,9.101968,9.398613000000001,9.672077,10.089494,10.306816,10.246082000000001
98-2800797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.629393,0.9825139999999999,1.2859049999999999,1.434413,1.7703950000000002,2.316904,2.540299,3.047987,3.237219,3.578125,3.8528230000000003,4.090094000000001,4.410185,4.63165,5.236312,5.4449510000000005,5.720847,5.9879169999999995,6.227708,6.503702,6.716227000000001,7.145471000000001,7.062324,6.843089999999999,6.679709,6.523902,6.626925,6.990727000000001,7.511889999999999,8.269919999999999,8.822925999999999,9.119571,9.393035000000001,9.810452,10.026774000000001,9.96504
99-2800813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.353122,0.656513,0.805021,1.141003,1.687511,1.910907,2.4185950000000003,2.6078259999999998,2.9487330000000003,3.22343,3.4607010000000002,3.780792,4.002257,4.606919,4.8155589999999995,5.091455000000001,5.358525,5.5983160000000005,5.8743099999999995,6.086835,6.516079,6.431931,6.213698,6.049316,5.8945099999999995,5.997533,6.3613349999999995,6.881498,7.6405270000000005,8.192534,8.489177999999999,8.763643,9.180059,9.396382000000001,9.336647
100-2803049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.30339099999999997,0.451899,0.787881,1.33439,1.557785,2.065473,2.254705,2.595611,2.870309,3.10758,3.427671,3.649136,4.253798000000001,4.462437,4.738333,5.005403,5.245194000000001,5.5211879999999995,5.733713,6.162957,6.07981,5.859576000000001,5.6961949999999995,5.5413879999999995,5.644411,6.008213,6.529376,7.287406,7.839411999999999,8.137057,8.409521,8.826938,9.04326,8.983526
101-2807107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.148508,0.48449,1.030999,1.254394,1.762082,1.951314,2.29222,2.566918,2.804189,3.1242799999999997,3.3457449999999995,3.950407,4.159046,4.434943,4.702012,4.941804,5.217798,5.430322,5.859566,5.776419000000001,5.557185,5.393804,5.237997,5.341019999999999,5.704822,6.225985,6.984014999999999,7.536021000000001,7.832666000000001,8.10713,8.523547,8.740869,8.680135
102-2802658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.335983,0.882491,1.105887,1.613575,1.8028060000000001,2.143712,2.4184099999999997,2.655681,2.975772,3.197237,3.8018989999999997,4.010539,4.286435,4.553505,4.793296,5.0692900000000005,5.281814,5.711059,5.626911,5.407678,5.245296,5.0894900000000005,5.192512000000001,5.556315000000001,6.076477,6.835507000000001,7.388514,7.684158,7.958622,8.375039,8.591362,8.531627
103-2802680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.546509,0.769904,1.277592,1.466824,1.8077299999999998,2.0824279999999997,2.319699,2.63979,2.861255,3.4659169999999997,3.674556,3.950452,4.217522,4.457314,4.733307,4.945832,5.375076,5.290929,5.071695,4.909314,4.753507,4.85653,5.219332,5.741495,6.499525,7.052531,7.348176,7.62264,8.040057000000001,8.256378999999999,8.195644999999999
104-2802707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.223396,0.735084,0.924315,1.2652219999999998,1.539919,1.77719,2.097281,2.318746,2.9234080000000002,3.132048,3.407944,3.675014,3.9148050000000003,4.190799,4.403324,4.832568,4.74942,4.530187000000001,4.365805,4.210999,4.314021,4.676824,5.198986,5.957016,6.509023,6.805667,7.079132,7.496548,7.713871000000001,7.6521360000000005
105-2802715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.511688,0.70092,1.041826,1.316524,1.553795,1.8738860000000002,2.095351,2.700013,2.908652,3.184548,3.451618,3.69141,3.967403,4.179928,4.609172,4.526025,4.3067910000000005,4.14341,3.987603,4.090626,4.454428,4.974591,5.732621,6.285627,6.582272,6.855736,7.273153,7.489475,7.4287410000000005
106-2802729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.18923199999999998,0.530138,0.804836,1.042107,1.362198,1.5836629999999998,2.188325,2.3969650000000002,2.672861,2.939931,3.179722,3.4557160000000002,3.66824,4.097484,4.014337,3.7951040000000003,3.631722,3.4759160000000002,3.578938,3.9417400000000002,4.462903,5.2209330000000005,5.773939,6.070583999999999,6.344048,6.761464999999999,6.977786999999999,6.917053
107-2805440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.340906,0.615604,0.852875,1.172966,1.394431,1.999093,2.207733,2.483629,2.750699,2.9904900000000003,3.266484,3.4790080000000003,3.9082529999999998,3.8241050000000003,3.6048720000000003,3.44149,3.2866839999999997,3.389706,3.753508,4.273671,5.032701,5.585708,5.881352,6.155816000000001,6.572233,6.788555000000001,6.728821000000001
