순번_정류장ID,54-2804092,55-2804090,56-2806224,57-2804088,58-2804614,59-2804087,60-2803988,61-2803986,62-2803984,63-2803981,64-2806017,65-2805721,66-2805719,67-2803976,68-2803974,69-2803875,70-2800253,71-2803871,72-2804720,73-2806360,74-2803868,75-2803866,76-2803863,77-2803864,78-2800255,79-2803615,80-2803614,81-2803859,82-2806227,83-2803858,84-2803611,85-2803609,86-2806232,87-2803608,88-2803607,89-2803606,90-2806297,91-2803616,92-2803853,93-2803850,94-2803617,95-2806299,96-2803618,97-2806300,98-2803600,99-2800273,100-2803601,101-2804331,102-2803581,103-2800271,104-2805489,105-2807150,106-2804581,107-2804582,108-2800267,109-2804032
74-2803868,,,,,,,,,,,,,,,,,,,,,0,0.438986,0.640692,0.772359,1.314731,2.279052,2.656183,2.88347,3.569522,3.918821,5.101592,5.477844,5.798691,6.310614999999999,6.603897,7.146866,7.471605,7.670496,8.072385,8.660375,9.190564,9.461102,9.778471,10.479232999999999,10.922161999999998,11.124770999999999,11.306386999999999,11.560706999999999,12.042038999999999,12.548969,12.913217999999999,13.254152999999999,13.555405999999998,13.915593999999999,14.554319,14.750416999999999
75-2803866,,,,,,,,,,,,,,,,,,,,,,0,0.201706,0.33337300000000003,0.8757450000000001,1.840066,2.217197,2.444484,3.130536,3.479835,4.662606,5.038858,5.359705,5.8716289999999995,6.164911,6.70788,7.032619,7.23151,7.633399,8.221389,8.751578,9.022116,9.339485,10.040246999999999,10.483175999999998,10.685785,10.867401,11.121720999999999,11.603053,12.109983,12.474231999999999,12.815166999999999,13.116419999999998,13.476607999999999,14.115333,14.311430999999999
76-2803863,,,,,,,,,,,,,,,,,,,,,,,0,0.131667,0.674039,1.63836,2.015491,2.242778,2.92883,3.278129,4.4609,4.837152,5.157998999999999,5.669922999999999,5.9632049999999985,6.506173999999999,6.830912999999999,7.029803999999999,7.431692999999998,8.019682999999999,8.549871999999999,8.820409999999999,9.137778999999998,9.838540999999998,10.281469999999997,10.484078999999998,10.665694999999998,10.920014999999998,11.401346999999998,11.908276999999998,12.272525999999997,12.613460999999997,12.914713999999996,13.274901999999997,13.913626999999998,14.109724999999997
77-2803864,,,,,,,,,,,,,,,,,,,,,,,,0,0.5423720000000001,1.5066929999999998,1.8838239999999997,2.1111109999999997,2.797163,3.1464619999999996,4.329232999999999,4.7054849999999995,5.026331999999999,5.538255999999999,5.831537999999998,6.374506999999999,6.699245999999999,6.898136999999998,7.300025999999998,7.888015999999999,8.418204999999999,8.688742999999999,9.006111999999998,9.706873999999997,10.149802999999997,10.352411999999998,10.534027999999998,10.788347999999997,11.269679999999997,11.776609999999998,12.140858999999997,12.481793999999997,12.783046999999996,13.143234999999997,13.781959999999998,13.978057999999997
78-2800255,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9643209999999999,1.3414519999999999,1.5687389999999999,2.254791,2.60409,3.786861,4.163113,4.48396,4.995883999999999,5.289166,5.832135,6.156874,6.355765,6.757654,7.345644,7.875833,8.146371,8.46374,9.164501999999999,9.607430999999998,9.810039999999999,9.991655999999999,10.245975999999999,10.727307999999999,11.234238,11.598486999999999,11.939421999999999,12.240675,12.600863,13.239588000000001,13.435686
79-2803615,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.377131,0.604418,1.29047,1.639769,2.82254,3.198792,3.519639,4.031563,4.324845,4.867814,5.192553,5.391444,5.793333,6.381323,6.911512,7.18205,7.4994190000000005,8.200181,8.64311,8.845719,9.027335,9.281655,9.762987,10.269917000000001,10.634166,10.975101,11.276354000000001,11.636542000000002,12.275267000000003,12.471365000000002
80-2803614,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.227287,0.913339,1.262638,2.4454089999999997,2.8216609999999998,3.142508,3.654432,3.947714,4.490683,4.815422,5.014313,5.416201999999999,6.004192,6.534381,6.804919,7.122288,7.82305,8.265979,8.468588,8.650204,8.904524,9.385856,9.892786000000001,10.257035,10.59797,10.899223,11.259411,11.898136000000001,12.094234
81-2803859,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.686052,1.035351,2.218122,2.594374,2.9152210000000003,3.4271450000000003,3.7204270000000004,4.263396,4.588135,4.787026,5.188915,5.776904999999999,6.307093999999999,6.5776319999999995,6.895001,7.595763,8.038692,8.241301,8.422917,8.677237,9.158569,9.665499,10.029748,10.370683,10.671935999999999,11.032124,11.670849,11.866947
82-2806227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.34929899999999997,1.53207,1.908322,2.229169,2.7410930000000002,3.0343750000000003,3.577344,3.902083,4.100974,4.502863,5.090852999999999,5.621041999999999,5.891579999999999,6.208949,6.909711,7.35264,7.555249,7.736865,7.991185,8.472517,8.979447,9.343696,9.684631,9.985883999999999,10.346072,10.984797,11.180895
83-2803858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.182771,1.559023,1.87987,2.391794,2.685076,3.228045,3.552784,3.751675,4.153564,4.741554000000001,5.271743000000001,5.542281000000001,5.859650000000001,6.560412000000001,7.003341000000002,7.205950000000001,7.387566000000001,7.641886000000001,8.123218000000001,8.630148000000002,8.994397000000001,9.335332000000001,9.636585,9.996773000000001,10.635498000000002,10.831596000000001
