순번_정류장ID,40-2803394,41-2805673,42-2803403,43-2805014,44-2807528,45-2800108,46-2807508,47-2807498,48-2807501,49-2807560,50-2807559,51-2807555,52-2807278,53-2807511,54-2807544,55-2807606,56-2805853,57-2807604,58-2807605,59-2801202,60-2800225,61-2800198,62-2801371,63-2801389,64-2801330,65-2801275,66-2801057,67-2801052,68-2800857,69-2800853,70-2805991,71-2806243,72-2806215,73-2806633,74-2804896,75-2805221,76-2805232,77-2805333
60-2800225,,,,,,,,,,,,,,,,,,,,,0,1.433039,2.003827,2.781131,3.482204,4.618876,5.037352,6.000937,6.774563000000001,7.773517000000001,9.424084,10.391622,11.54848,12.21206,12.760062,13.101537,13.738506000000001,15.020017000000001
61-2800198,,,,,,,,,,,,,,,,,,,,,,0,0.570788,1.3480919999999998,2.049165,3.185837,3.604313,4.567898,5.341524,6.340478,7.991045,8.958582999999999,10.115440999999999,10.779020999999998,11.327022999999999,11.668498,12.305467,13.586978
62-2801371,,,,,,,,,,,,,,,,,,,,,,,0,0.777304,1.478377,2.615049,3.033525,3.99711,4.770736,5.769690000000001,7.420257,8.387795,9.544653,10.208233,10.756235,11.09771,11.734679,13.01619
63-2801389,,,,,,,,,,,,,,,,,,,,,,,,0,0.701073,1.837745,2.256221,3.219806,3.9934320000000003,4.992386000000001,6.642953,7.610491000000001,8.767349000000001,9.430929,9.978931000000001,10.320406000000002,10.957375000000003,12.238886000000003
64-2801330,,,,,,,,,,,,,,,,,,,,,,,,,0,1.136672,1.555148,2.518733,3.2923590000000003,4.291313000000001,5.94188,6.9094180000000005,8.066276,8.729856,9.277858,9.619333000000001,10.256302000000002,11.537813000000002
65-2801275,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.418476,1.382061,2.155687,3.154641,4.8052079999999995,5.772746,6.929603999999999,7.593183999999999,8.141186,8.482661,9.11963,10.401141
66-2801057,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.963585,1.737211,2.736165,4.386732,5.3542700000000005,6.511128,7.174708000000001,7.722710000000001,8.064185000000002,8.701154000000002,9.982665000000003
67-2801052,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.773626,1.77258,3.423147,4.390685,5.547543,6.211123000000001,6.759125000000001,7.100600000000001,7.737569000000001,9.01908
68-2800857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9989540000000001,2.649521,3.617059,4.773917,5.4374970000000005,5.985499000000001,6.326974000000001,6.963943,8.245454
69-2800853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.650567,2.618105,3.7749629999999996,4.438542999999999,4.986545,5.3280199999999995,5.964988999999999,7.246499999999999
70-2805991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9675379999999999,2.124396,2.787976,3.335978,3.677453,4.3144219999999995,5.595933
71-2806243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.156858,1.820438,2.36844,2.709915,3.346884,4.628395
72-2806215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.6635800000000001,1.211582,1.553057,2.190026,3.471537
73-2806633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.548002,0.889477,1.526446,2.807957
74-2804896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.341475,0.978444,2.259955
75-2805221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.636969,1.9184800000000002
76-2805232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.281511
77-2805333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
