순번_정류장ID,1-2805765,2-2805001,3-2805892,4-2805894,5-2805897,6-2802243,7-2802239,8-2802232,9-2801863,10-2801904,11-2804910,12-2801833,13-2802219,14-2802216,15-2802209,16-2802202,17-2802188,18-2802186,19-2804814,20-2802156,21-2802151,22-2802130,23-2802126,24-2802120,25-2802085,26-2802096,27-2802111,28-2801845,29-2801849,30-2802136,31-2802152,32-2802163,33-2802174,34-2802618,35-2802828,36-2802882,37-2802393,38-2802395,39-2802399,40-2802406,41-2802412,42-2802442,43-2802453,44-2802250,45-2802253,46-2802260,47-2802263,48-2803792,49-2801816,50-2801861,51-2802277,52-2802269,53-2802259,54-2801841,55-2802240
26-2802096,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.364498,0.681433,1.122074,1.912912,2.2685,2.7072089999999998,2.9746889999999997,3.2397859999999996,3.8968299999999996,4.655717999999999,5.0930219999999995,5.578950999999999,6.2236519999999995,6.574927,7.057030999999999,7.291326999999999,7.592186999999999,8.133949999999999,8.569330999999998,8.949855999999999,9.378411999999999,9.70835,10.117182999999999,10.484773999999998,10.878651999999999,11.311221,11.647387,12.576942,12.934835000000001
27-2802111,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.31693499999999997,0.757576,1.5484140000000002,1.9040020000000002,2.3427110000000004,2.6101910000000004,2.8752880000000003,3.5323320000000002,4.29122,4.728524,5.214453,5.859154,6.210429,6.692533,6.926829,7.227689,7.769451999999999,8.204832999999999,8.585358,9.013914,9.343852,9.752685,10.120276,10.514154000000001,10.946723000000002,11.282889000000003,12.212444000000003,12.570337000000004
28-2801845,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.440641,1.231479,1.587067,2.025776,2.293256,2.558353,3.215397,3.974285,4.411589,4.897518,5.542218999999999,5.893494,6.375597999999999,6.609893999999999,6.910753999999999,7.4525169999999985,7.887897999999998,8.268422999999999,8.696978999999999,9.026917,9.435749999999999,9.803341,10.197219,10.629788000000001,10.965954000000002,11.895509000000002,12.253402000000003
29-2801849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.790838,1.146426,1.585135,1.852615,2.117712,2.774756,3.533644,3.970948,4.4568769999999995,5.101578,5.452853,5.934957,6.169252999999999,6.470113,7.011875999999999,7.447256999999999,7.827781999999999,8.256338,8.586276,8.995109,9.3627,9.756578000000001,10.189147000000002,10.525313000000002,11.454868000000003,11.812761000000004
30-2802136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.355588,0.794297,1.061777,1.3268739999999999,1.9839179999999998,2.742806,3.18011,3.666039,4.31074,4.662015,5.144119,5.3784149999999995,5.679275,6.221038,6.656419,7.036944,7.4655000000000005,7.795438000000001,8.204271,8.571862,8.96574,9.398309000000001,9.734475000000002,10.664030000000002,11.021923000000003
31-2802152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.438709,0.706189,0.9712859999999999,1.6283299999999998,2.387218,2.824522,3.310451,3.955152,4.306427,4.788531,5.0228269999999995,5.323687,5.865449999999999,6.300830999999999,6.681355999999999,7.109912,7.43985,7.848682999999999,8.216273999999999,8.610152,9.042721,9.378887,10.308442000000001,10.666335000000002
32-2802163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.26748,0.532577,1.1896209999999998,1.9485089999999998,2.3858129999999997,2.871742,3.5164429999999998,3.867718,4.349822,4.584117999999999,4.884977999999999,5.426741,5.862121999999999,6.242647,6.671203,7.0011410000000005,7.409974,7.777565,8.171443,8.604012,8.940178000000001,9.869733000000002,10.227626000000003
33-2802174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.26509699999999997,0.9221409999999999,1.6810289999999999,2.118333,2.604262,3.248963,3.600238,4.082342,4.316637999999999,4.617497999999999,5.159260999999999,5.594641999999999,5.975166999999999,6.403722999999999,6.733661,7.142493999999999,7.510084999999999,7.903962999999999,8.336531999999998,8.672697999999999,9.602253,9.960146
34-2802618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.657044,1.415932,1.8532359999999999,2.339165,2.983866,3.335141,3.817245,4.051541,4.352401,4.894164,5.3295449999999995,5.71007,6.138626,6.468564000000001,6.877397,7.244988,7.638866,8.071435000000001,8.407601000000001,9.337156000000002,9.695049000000003
35-2802828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.758888,1.196192,1.682121,2.326822,2.678097,3.1602010000000003,3.3944970000000003,3.6953570000000004,4.237120000000001,4.6725010000000005,5.053026000000001,5.481582000000001,5.811520000000002,6.220353000000001,6.587944000000001,6.981822000000001,7.414391000000001,7.750557000000001,8.680112000000001,9.038005000000002
