순번_정류장ID,48-2801595,49-2801562,50-2800171,51-2800236,52-2801472,53-2801453,54-2801416,55-2801198,56-2801378,57-2801385,58-2801389,59-2801400,60-2801406,61-2801399,62-2801370,63-2801341,64-2801316,65-2801297,66-2801318,67-2801356,68-2801388,69-2801414,70-2801438,71-2805321,72-2801462,73-2805642,74-2801544,75-2801187,76-2801581,77-2801606,78-2800694,79-2800726,80-2800751,81-2800765,82-2800782,83-2800797,84-2800813,85-2803049,86-2803063,87-2803062,88-2803058,89-2800370,90-2800369
69-2801414,,,,,,,,,,,,,,,,,,,,,,0,0.311653,0.910269,1.245674,1.935288,2.255314,2.5357849999999997,2.7434499999999997,3.160331,4.1034619999999995,4.477442,4.884821,5.102967,5.534649999999999,5.812770999999999,6.441623999999999,6.796351,7.319300999999999,7.5351989999999995,8.202088999999999,8.921923999999999,10.189545999999998
70-2801438,,,,,,,,,,,,,,,,,,,,,,,0,0.598616,0.934021,1.6236350000000002,1.943661,2.224132,2.431797,2.848678,3.7918089999999998,4.165789,4.573168,4.791314,5.2229969999999994,5.501117999999999,6.129970999999999,6.484698,7.007648,7.223546,7.890435999999999,8.610271,9.877892999999998
71-2805321,,,,,,,,,,,,,,,,,,,,,,,,0,0.335405,1.0250190000000001,1.3450450000000003,1.6255160000000002,1.8331810000000002,2.2500620000000002,3.193193,3.567173,3.974552,4.192698,4.624381,4.902501999999999,5.531355,5.886082,6.409032,6.62493,7.2918199999999995,8.011655,9.279276999999999
72-2801462,,,,,,,,,,,,,,,,,,,,,,,,,0,0.6896140000000001,1.00964,1.290111,1.497776,1.914657,2.857788,3.231768,3.6391470000000004,3.8572930000000003,4.288976,4.5670969999999995,5.19595,5.550677,6.073627,6.289525,6.956415,7.67625,8.943871999999999
73-2805642,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.32002600000000003,0.6004970000000001,0.808162,1.225043,2.168174,2.542154,2.949533,3.167679,3.599362,3.8774830000000002,4.506336,4.861063,5.3840129999999995,5.599911,6.266800999999999,6.986635999999999,8.254257999999998
74-2801544,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.280471,0.488136,0.9050170000000001,1.8481480000000001,2.222128,2.6295070000000003,2.847653,3.2793360000000003,3.5574570000000003,4.186310000000001,4.541037000000001,5.063987000000001,5.279885000000001,5.946775000000001,6.66661,7.934232000000001
75-2801187,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.20766500000000002,0.624546,1.567677,1.941657,2.349036,2.567182,2.998865,3.276986,3.905839,4.260566,4.783516,4.999414,5.666304,6.386139,7.653761
76-2801581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.41688100000000006,1.360012,1.733992,2.141371,2.359517,2.7912,3.069321,3.698174,4.052901,4.575851,4.791749,5.458639,6.178474,7.446096
77-2801606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9431309999999999,1.317111,1.7244899999999999,1.9426359999999998,2.374319,2.65244,3.281293,3.63602,4.15897,4.374868,5.041758,5.7615929999999995,7.029215
78-2800694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.37398000000000003,0.781359,0.9995050000000001,1.4311880000000001,1.7093090000000002,2.338162,2.692889,3.215839,3.431737,4.0986270000000005,4.818462,6.0860840000000005
79-2800726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.407379,0.625525,1.057208,1.335329,1.964182,2.318909,2.8418590000000004,3.0577570000000005,3.7246470000000005,4.444482000000001,5.712104000000001
80-2800751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.218146,0.649829,0.92795,1.556803,1.91153,2.4344799999999998,2.650378,3.317268,4.037103,5.304725
