순번_정류장ID,1-2806671,2-2807350,3-2807351,4-2807354,5-2807356,6-2802556,7-2802553,8-2802543,9-2802537,10-2802364,11-2802544,12-2802548,13-2802351,14-2802573,15-2802308,16-2802315,17-2802317,18-2802320,19-2802321,20-2802322,21-2802318,22-2802307,23-2802299,24-2802288,25-2802284,26-2802277,27-2802269,28-2801819,29-2803807,30-2804958,31-2803816,32-2803801,33-2803802,34-2805002,35-2803803
21-2802318,,,,,,,,,,,,,,,,,,,,,0,0.323798,0.6584840000000001,0.8825700000000001,1.4343750000000002,1.8282530000000001,2.091066,2.37643,2.608277,3.0626870000000004,3.259177,3.8932460000000004,4.237103,4.520096000000001,4.725530000000001
22-2802307,,,,,,,,,,,,,,,,,,,,,,0,0.33468600000000004,0.558772,1.1105770000000001,1.504455,1.767268,2.052632,2.284479,2.7388890000000004,2.935379,3.5694480000000004,3.9133050000000003,4.1962980000000005,4.401732000000001
23-2802299,,,,,,,,,,,,,,,,,,,,,,,0,0.224086,0.775891,1.169769,1.432582,1.717946,1.9497929999999999,2.404203,2.6006929999999997,3.234762,3.5786189999999998,3.8616119999999996,4.0670459999999995
24-2802288,,,,,,,,,,,,,,,,,,,,,,,,0,0.551805,0.945683,1.208496,1.49386,1.7257069999999999,2.180117,2.376607,3.010676,3.354533,3.637526,3.8429599999999997
25-2802284,,,,,,,,,,,,,,,,,,,,,,,,,0,0.393878,0.656691,0.9420550000000001,1.173902,1.628312,1.824802,2.4588710000000003,2.802728,3.085721,3.291155
26-2802277,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.262813,0.548177,0.780024,1.234434,1.430924,2.0649930000000003,2.40885,2.691843,2.897277
27-2802269,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.285364,0.517211,0.9716210000000001,1.1681110000000001,1.8021800000000001,2.146037,2.42903,2.634464
28-2801819,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.23184699999999997,0.686257,0.882747,1.516816,1.860673,2.143666,2.3491
29-2803807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.45441000000000004,0.6509,1.284969,1.628826,1.9118190000000002,2.1172530000000003
30-2804958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.19649,0.830559,1.1744160000000001,1.4574090000000002,1.662843
31-2803816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.634069,0.9779260000000001,1.2609190000000001,1.4663530000000002
32-2803801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.343857,0.62685,0.832284
33-2803802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.282993,0.488427
34-2805002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.205434
35-2803803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
