순번_정류장ID,1-2803340,2-2803336,3-2803326,4-2803324,5-2803322,6-2803311,7-2803316,8-2803319,9-2803305,10-2803293,11-2803281,12-2803275,13-2803266,14-2803268,15-2803259,16-2803249,17-2803226,18-2803127,19-2805713,20-2803122,21-2803104,22-2803094,23-2803079,24-2803068,25-2807615,26-2803077,27-2803101,28-2803100,29-2803087,30-2802667,31-2802631,32-2802668,33-2802655,34-2803050,35-2800814,36-2800793,37-2800785,38-2800766,39-2800748,40-2800721,41-2800697,42-2801603,43-2801583,44-2801565,45-2801546,46-2801527,47-2801484,48-2801178,49-2801179,50-2801424,51-2801411,52-2801401,53-2801391,54-2801386,55-2801380,56-2805805,57-2800209,58-2800201
21-2803104,,,,,,,,,,,,,,,,,,,,,0,0.31019,0.521401,0.785426,1.0850659999999999,1.4546299999999999,1.8514209999999998,2.143071,2.527534,2.9361650000000004,3.2128370000000004,3.8660640000000006,4.225736,4.54474,5.247452,5.439161,5.9020150000000005,6.153849,6.572419,6.889824,7.868414,8.193783,8.462587,8.753924,9.178523,9.628553,10.066666,10.648498,11.105024,11.384275,11.671719000000001,11.933183000000001,12.176112000000002,12.405915000000002,12.674759000000002,12.957486000000001,13.840408000000002,14.038134000000001
22-2803094,,,,,,,,,,,,,,,,,,,,,,0,0.211211,0.475236,0.774876,1.14444,1.5412309999999998,1.8328809999999998,2.2173439999999998,2.625975,2.902647,3.555874,3.915546,4.23455,4.937262,5.128971,5.591825,5.843659,6.262229,6.5796339999999995,7.558223999999999,7.883592999999999,8.152396999999999,8.443734,8.868333,9.318363,9.756476,10.338308,10.794834,11.074085,11.361529,11.622993000000001,11.865922000000001,12.095725000000002,12.364569000000001,12.647296,13.530218000000001,13.727944
23-2803079,,,,,,,,,,,,,,,,,,,,,,,0,0.264025,0.5636650000000001,0.9332290000000001,1.3300200000000002,1.6216700000000002,2.006133,2.4147640000000004,2.6914360000000004,3.3446630000000006,3.7043350000000004,4.023339,4.726051,4.91776,5.3806140000000005,5.632448,6.051018,6.368423,7.347013,7.672382,7.941186,8.232523,8.657122000000001,9.107152000000001,9.545265,10.127097000000001,10.583623000000001,10.862874000000001,11.150318000000002,11.411782000000002,11.654711000000002,11.884514000000003,12.153358000000003,12.436085000000002,13.319007000000003,13.516733000000002
24-2803068,,,,,,,,,,,,,,,,,,,,,,,,0,0.29964,0.669204,1.065995,1.357645,1.742108,2.150739,2.427411,3.0806380000000004,3.44031,3.7593140000000003,4.462026,4.653735,5.116589,5.368423,5.786993,6.104398,7.082987999999999,7.408357,7.677161,7.968498,8.393097000000001,8.843127,9.28124,9.863072,10.319598000000001,10.598849000000001,10.886293000000002,11.147757000000002,11.390686000000002,11.620489000000003,11.889333000000002,12.172060000000002,13.054982000000003,13.252708000000002
25-2807615,,,,,,,,,,,,,,,,,,,,,,,,,0,0.369564,0.766355,1.058005,1.442468,1.851099,2.127771,2.7809980000000003,3.14067,3.459674,4.162386,4.354095,4.816949,5.068783,5.487353,5.804758,6.783347999999999,7.1087169999999995,7.377521,7.668858,8.093457,8.543487,8.9816,9.563432,10.019958,10.299209000000001,10.586653000000002,10.848117000000002,11.091046000000002,11.320849000000003,11.589693000000002,11.872420000000002,12.755342000000002,12.953068000000002
26-2803077,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.396791,0.6884410000000001,1.072904,1.481535,1.758207,2.411434,2.7711059999999996,3.0901099999999997,3.7928219999999997,3.9845309999999996,4.447385,4.699218999999999,5.117788999999999,5.435193999999999,6.413783999999999,6.739152999999999,7.007956999999999,7.299294,7.7238929999999995,8.173923,8.612036,9.193868,9.650394,9.929645,10.217089000000001,10.478553000000002,10.721482000000002,10.951285000000002,11.220129000000002,11.502856000000001,12.385778000000002,12.583504000000001
27-2803101,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.29165,0.676113,1.084744,1.361416,2.014643,2.374315,2.6933190000000002,3.3960310000000002,3.58774,4.050594,4.302428,4.720998,5.038403,6.016992999999999,6.342362,6.611166,6.902503,7.327102,7.777132,8.215245,8.797077,9.253603,9.532854,9.820298000000001,10.081762000000001,10.324691000000001,10.554494000000002,10.823338000000001,11.106065000000001,11.988987000000002,12.186713000000001
28-2803100,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.384463,0.793094,1.069766,1.722993,2.082665,2.401669,3.104381,3.29609,3.758944,4.010778,4.429348,4.746753,5.725343,6.050712,6.319516,6.6108530000000005,7.035452,7.485482,7.923595000000001,8.505427000000001,8.961953000000001,9.241204000000002,9.528648000000002,9.790112000000002,10.033041000000003,10.262844000000003,10.531688000000003,10.814415000000002,11.697337000000003,11.895063000000002
29-2803087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.408631,0.685303,1.33853,1.698202,2.017206,2.719918,2.9116269999999997,3.374481,3.626315,4.044885,4.36229,5.340879999999999,5.666249,5.935053,6.22639,6.650989,7.101019,7.539132,8.120964,8.577490000000001,8.856741000000001,9.144185000000002,9.405649000000002,9.648578000000002,9.878381000000003,10.147225000000002,10.429952000000002,11.312874000000003,11.510600000000002
30-2802667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.276672,0.929899,1.289571,1.608575,2.311287,2.502996,2.96585,3.217684,3.636254,3.953659,4.932249,5.257618,5.526422,5.817759000000001,6.242358,6.692388,7.130501000000001,7.712333000000001,8.168859000000001,8.448110000000002,8.735554000000002,8.997018000000002,9.239947000000003,9.469750000000003,9.738594000000003,10.021321000000002,10.904243000000003,11.101969000000002
