순번_정류장ID,37-2802694,38-2802692,39-2802713,40-2802744,41-2802767,42-2802785,43-2802812,44-2802844,45-2802867,46-2802393,47-2802395,48-2802397,49-2802399,50-2802401,51-2802403,52-2802404,53-2802223,54-2802225,55-2802247,56-2802368,57-2802456,58-2802482,59-2802509,60-2802516,61-2802530,62-2802542,63-2802367,64-2802541,65-2802547,66-2802552,67-2802566,68-2802366,69-2802579,70-2802577,71-2802581,72-2802565
58-2802482,,,,,,,,,,,,,,,,,,,,,,0,0.238967,0.49424599999999996,0.897265,1.24519,1.5483850000000001,1.996508,2.17378,2.3493959999999996,2.6715069999999996,2.9807619999999995,3.1604139999999994,3.4933429999999994,3.6603729999999994,4.459531999999999
59-2802509,,,,,,,,,,,,,,,,,,,,,,,0,0.255279,0.658298,1.006223,1.309418,1.7575409999999998,1.934813,2.110429,2.43254,2.7417949999999998,2.9214469999999997,3.2543759999999997,3.4214059999999997,4.220565
60-2802516,,,,,,,,,,,,,,,,,,,,,,,,0,0.403019,0.7509440000000001,1.0541390000000002,1.502262,1.679534,1.85515,2.177261,2.486516,2.666168,2.999097,3.166127,3.965286
61-2802530,,,,,,,,,,,,,,,,,,,,,,,,,0,0.347925,0.6511199999999999,1.099243,1.276515,1.452131,1.774242,2.083497,2.263149,2.596078,2.763108,3.562267
62-2802542,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.303195,0.7513179999999999,0.9285899999999999,1.104206,1.426317,1.7355720000000001,1.915224,2.248153,2.415183,3.214342
63-2802367,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.44812299999999994,0.6253949999999999,0.8010109999999999,1.123122,1.432377,1.612029,1.944958,2.1119879999999998,2.9111469999999997
64-2802541,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.177272,0.352888,0.674999,0.984254,1.1639059999999999,1.496835,1.663865,2.463024
65-2802547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.175616,0.49772700000000003,0.8069820000000001,0.9866340000000001,1.319563,1.486593,2.285752
66-2802552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.32211100000000004,0.6313660000000001,0.8110180000000001,1.143947,1.310977,2.1101360000000002
67-2802566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.309255,0.488907,0.821836,0.988866,1.7880250000000002
68-2802366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.179652,0.512581,0.679611,1.47877
69-2802579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.332929,0.49995899999999993,1.299118
70-2802577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.16702999999999998,0.9661890000000001
71-2802581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.7991590000000001
72-2802565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
