순번_정류장ID,1-2806800,2-2806656,3-2807047,4-2804977,5-2800507,6-2800503,7-2805796,8-2800509,9-2800511,10-2800514,11-2800516,12-2800518,13-2800522,14-2800531,15-2800540,16-2800551,17-2800557,18-2800564,19-2800577,20-2805679,21-2806742,22-2806657,23-2805025,24-2805873,25-2805844,26-2804905,27-2805413,28-2805842,29-2806172,30-2805231,31-2805400,32-2805038,33-2804895,34-2805744,35-2806419,36-2803673,37-2800663,38-2800655,39-2800666,40-2800678,41-2803556,42-2800345,43-2803643,44-2803791,45-2801474,46-2801464,47-2801178,48-2801179,49-2801439,50-2801492,51-2801524,52-2801602,53-2806837,54-2801647,55-2801634,56-2801667,57-2801680,58-2801698,59-2801714,60-2801712,61-2801701,62-2805300
11-2800516,,,,,,,,,,,0,0.180339,0.540474,1.006942,1.265347,1.512894,1.789761,2.095722,2.293641,2.608424,3.9635999999999996,4.264163,4.426609,4.626794,4.875427,5.111175,5.369391,6.116659,6.628512000000001,7.126620000000001,7.3270360000000005,7.61019,8.198693,8.738386,9.260334,10.179897,10.43408,10.687338,11.157052,11.467514,11.726358999999999,12.294762999999998,14.226176999999998,14.584362999999998,14.824253999999998,15.244472999999997,15.826304999999998,16.115599999999997,16.633701999999996,16.934275999999997,17.407773999999996,17.652389999999997,18.033016999999997,18.319148,18.739067,19.103026,19.633837,19.991878,20.103944,20.386772999999998,20.512569,20.844424999999998
12-2800518,,,,,,,,,,,,0,0.360135,0.826603,1.085008,1.332555,1.609422,1.9153829999999998,2.113302,2.428085,3.7832609999999995,4.083824,4.24627,4.446455,4.695088,4.930836,5.189052,5.93632,6.448173000000001,6.946281000000001,7.1466970000000005,7.429851,8.018354,8.558047,9.079995,9.999558,10.253741,10.506999,10.976713,11.287175,11.546019999999999,12.114423999999998,14.045837999999998,14.404023999999998,14.643914999999998,15.064133999999997,15.645965999999998,15.935260999999997,16.453362999999996,16.753936999999997,17.227434999999996,17.472050999999997,17.852677999999997,18.138809,18.558728,18.922687,19.453498,19.811539,19.923605,20.206433999999998,20.33223,20.664085999999998
13-2800522,,,,,,,,,,,,,0,0.46646800000000005,0.7248730000000001,0.9724200000000001,1.249287,1.5552480000000002,1.7531670000000001,2.06795,3.423126,3.723689,3.886135,4.08632,4.334953,4.570701,4.828917,5.576185,6.088038,6.586146,6.786562,7.069716,7.658219,8.197912,8.71986,9.639423,9.893606,10.146864,10.616578,10.92704,11.185884999999999,11.754288999999998,13.685702999999998,14.043888999999998,14.283779999999998,14.703998999999998,15.285830999999998,15.575125999999997,16.093227999999996,16.393801999999997,16.867299999999997,17.111915999999997,17.492542999999998,17.778674,18.198593,18.562552,19.093363,19.451404,19.56347,19.846299,19.972095,20.303950999999998
14-2800531,,,,,,,,,,,,,,0,0.258405,0.505952,0.7828189999999999,1.0887799999999999,1.2866989999999998,1.6014819999999999,2.956658,3.257221,3.419667,3.619852,3.8684849999999997,4.104233,4.362449,5.109717,5.62157,6.119678,6.320094,6.603248,7.191751,7.731444,8.253392,9.172955,9.427138,9.680396,10.15011,10.460571999999999,10.719417,11.287821,13.219235,13.577421,13.817312,14.237530999999999,14.819363,15.108657999999998,15.626759999999999,15.927333999999998,16.400831999999998,16.645448,17.026075,17.312206,17.732125,18.096084,18.626895,18.984936,19.097002,19.379831,19.505627,19.837483
15-2800540,,,,,,,,,,,,,,,0,0.247547,0.524414,0.8303750000000001,1.028294,1.343077,2.6982530000000002,2.998816,3.1612620000000002,3.361447,3.61008,3.845828,4.104044,4.851312,5.363165,5.861273000000001,6.061689,6.344843,6.933346,7.473039,7.994987,8.91455,9.168733,9.421991,9.891705,10.202167,10.461012,11.029416,12.96083,13.319016,13.558907,13.979125999999999,14.560958,14.850252999999999,15.368355,15.668928999999999,16.142426999999998,16.387043,16.76767,17.053801,17.47372,17.837679,18.36849,18.726531,18.838597,19.121426,19.247222,19.579078
16-2800551,,,,,,,,,,,,,,,,0,0.27686700000000003,0.5828280000000001,0.7807470000000001,1.0955300000000001,2.4507060000000003,2.751269,2.9137150000000003,3.1139,3.362533,3.598281,3.856497,4.603765,5.115618,5.613726000000001,5.814142,6.097296,6.685799,7.225492,7.74744,8.667003,8.921185999999999,9.174444,9.644158,9.954619999999998,10.213465,10.781868999999999,12.713282999999999,13.071468999999999,13.311359999999999,13.731578999999998,14.313410999999999,14.602705999999998,15.120807999999998,15.421381999999998,15.894879999999997,16.139495999999998,16.520122999999998,16.806254,17.226173,17.590132,18.120943,18.478984,18.59105,18.873879,18.999675,19.331531
17-2800557,,,,,,,,,,,,,,,,,0,0.30596100000000004,0.5038800000000001,0.8186630000000001,2.173839,2.474402,2.636848,2.837033,3.085666,3.321414,3.57963,4.326898,4.838751,5.3368590000000005,5.537275,5.820429,6.408932,6.948625,7.470573,8.390136,8.644319,8.897577,9.367291,9.677753,9.936598,10.505002,12.436416,12.794602,13.034493,13.454711999999999,14.036544,14.325838999999998,14.843941,15.144514999999998,15.618012999999998,15.862628999999998,16.243256,16.529387,16.949306,17.313265,17.844076,18.202117,18.314183,18.597012,18.722808,19.054664
18-2800564,,,,,,,,,,,,,,,,,,0,0.197919,0.512702,1.867878,2.168441,2.330887,2.531072,2.779705,3.015453,3.273669,4.020937,4.53279,5.0308980000000005,5.231314,5.514468,6.102971,6.642664,7.164612,8.084175,8.338358,8.591616,9.06133,9.371792,9.630637,10.199041,12.130455,12.488641,12.728532,13.148750999999999,13.730583,14.019877999999999,14.53798,14.838553999999998,15.312051999999998,15.556667999999998,15.937294999999999,16.223426,16.643345,17.007304,17.538115,17.896156,18.008222,18.291051,18.416847,18.748703
19-2800577,,,,,,,,,,,,,,,,,,,0,0.314783,1.669959,1.9705219999999999,2.132968,2.333153,2.5817859999999997,2.8175339999999998,3.0757499999999998,3.823018,4.334871,4.832979,5.033395,5.316548999999999,5.9050519999999995,6.444744999999999,6.966692999999999,7.8862559999999995,8.140438999999999,8.393697,8.863411,9.173872999999999,9.432717999999998,10.001121999999997,11.932535999999997,12.290721999999997,12.530612999999997,12.950831999999997,13.532663999999997,13.821958999999996,14.340060999999997,14.640634999999996,15.114132999999995,15.358748999999996,15.739375999999996,16.025506999999998,16.445425999999998,16.809385,17.340196,17.698237,17.810302999999998,18.093131999999997,18.218928,18.550783999999997
20-2805679,,,,,,,,,,,,,,,,,,,,0,1.355176,1.655739,1.8181850000000002,2.01837,2.267003,2.502751,2.760967,3.508235,4.020088,4.5181960000000005,4.718612,5.001766,5.590269,6.129962,6.65191,7.571473,7.825656,8.078914000000001,8.548628,8.85909,9.117935,9.686338999999998,11.617752999999999,11.975938999999999,12.215829999999999,12.636048999999998,13.217880999999998,13.507175999999998,14.025277999999998,14.325851999999998,14.799349999999997,15.043965999999998,15.424592999999998,15.710723999999997,16.130642999999996,16.494601999999997,17.025412999999997,17.383453999999997,17.495519999999996,17.778348999999995,17.904144999999996,18.236000999999995
