순번_정류장ID,1-2805045,2-2803524,3-2803525,4-2803769,5-2804876,6-2803770,7-2803820,8-2806041,9-2805551,10-2804418,11-2802599,12-2802592,13-2802589,14-2802362,15-2802595,16-2802598,17-2802587,18-2802580,19-2802572,20-2802561,21-2802550,22-2802540,23-2802535,24-2802527,25-2802520,26-2802498,27-2802485,28-2802483,29-2802371,30-2802441,31-2802941,32-2802901,33-2802851,34-2802823,35-2802783,36-2802757,37-2802733,38-2802706,39-2802628
27-2802485,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.107903,0.518794,0.968595,2.8279229999999997,3.1530859999999996,3.616792,3.79919,4.223211,4.69853,4.9368289999999995,5.359425,5.618563
28-2802483,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.410891,0.860692,2.72002,3.0451829999999998,3.508889,3.691287,4.115308,4.590627,4.828925999999999,5.251522,5.51066
29-2802371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.449801,2.309129,2.634292,3.097998,3.280396,3.7044170000000003,4.179736,4.418035,4.840631,5.099769
30-2802441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.8593279999999999,2.184491,2.648197,2.830595,3.2546160000000004,3.7299350000000002,3.9682340000000003,4.39083,4.649968
31-2802941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.32516300000000004,0.788869,0.9712670000000001,1.395288,1.8706070000000001,2.108906,2.531502,2.7906400000000002
32-2802901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.46370600000000006,0.646104,1.070125,1.5454439999999998,1.7837429999999999,2.206339,2.465477
33-2802851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.182398,0.606419,1.081738,1.3200370000000001,1.742633,2.001771
34-2802823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.424021,0.8993399999999999,1.1376389999999998,1.5602349999999998,1.819373
35-2802783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.47531899999999994,0.7136179999999999,1.1362139999999998,1.395352
36-2802757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.23829899999999998,0.660895,0.9200330000000001
37-2802733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.422596,0.6817340000000001
38-2802706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.25913800000000003
39-2802628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
