순번_정류장ID,40-2802708,41-2802731,42-2802755,43-2802776,44-2802813,45-2802853,46-2802903,47-2802942,48-2802439,49-2802449,50-2802370,51-2802459,52-2802473,53-2802495,54-2802517,55-2802506,56-2802514,57-2802522,58-2802375,59-2802504,60-2806677,61-2806675,62-2802558,63-2802569,64-2802560,65-2802555,66-2802556,67-2802553,68-2802543,69-2802537,70-2802364,71-2802544,72-2802548,73-2802365,74-2802570,75-2802571,76-2802576,77-2802578,78-2802585,79-2802374
60-2806677,,,,,,,,,,,,,,,,,,,,,0,0.674241,1.34584,2.022008,2.362968,2.672451,3.207692,3.5377720000000004,3.7715330000000002,3.9972260000000004,4.309227000000001,4.521319000000001,5.141297000000001,5.426469000000001,5.677524000000001,5.955800000000001,6.097087000000001,6.382761000000001,6.590975000000001,6.729558000000001
61-2806675,,,,,,,,,,,,,,,,,,,,,,0,0.671599,1.347767,1.6887269999999999,1.9982099999999998,2.533451,2.863531,3.097292,3.322985,3.634986,3.847078,4.467056,4.752228000000001,5.003283000000001,5.281559000000001,5.422846000000001,5.708520000000001,5.916734000000001,6.0553170000000005
62-2802558,,,,,,,,,,,,,,,,,,,,,,,0,0.676168,1.017128,1.326611,1.8618519999999998,2.191932,2.425693,2.651386,2.963387,3.175479,3.7954570000000003,4.080629,4.331684,4.60996,4.751247,5.036921,5.245135,5.383718
63-2802569,,,,,,,,,,,,,,,,,,,,,,,,0,0.34096,0.650443,1.185684,1.515764,1.749525,1.975218,2.287219,2.499311,3.119289,3.4044610000000004,3.6555160000000004,3.9337920000000004,4.075079000000001,4.360753000000001,4.568967000000001,4.70755
64-2802560,,,,,,,,,,,,,,,,,,,,,,,,,0,0.309483,0.844724,1.174804,1.408565,1.634258,1.946259,2.158351,2.7783290000000003,3.0635010000000005,3.3145560000000005,3.5928320000000005,3.7341190000000006,4.019793000000001,4.228007000000001,4.36659
65-2802555,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.535241,0.865321,1.0990820000000001,1.324775,1.636776,1.848868,2.468846,2.7540180000000003,3.0050730000000003,3.2833490000000003,3.4246360000000005,3.7103100000000007,3.9185240000000006,4.057107
66-2802556,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.33008000000000004,0.563841,0.789534,1.101535,1.3136269999999999,1.933605,2.218777,2.4698320000000002,2.748108,2.8893950000000004,3.1750690000000006,3.3832830000000005,3.5218660000000006
67-2802553,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.23376100000000002,0.45945400000000003,0.771455,0.983547,1.6035249999999999,1.8886969999999998,2.1397519999999997,2.4180279999999996,2.559315,2.844989,3.053203,3.191786
68-2802543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.22569299999999998,0.537694,0.7497860000000001,1.369764,1.654936,1.905991,2.184267,2.3255540000000003,2.6112280000000005,2.8194420000000004,2.9580250000000006
69-2802537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.31200100000000003,0.524093,1.144071,1.429243,1.680298,1.958574,2.099861,2.385535,2.593749,2.732332
70-2802364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.212092,0.8320700000000001,1.117242,1.368297,1.646573,1.78786,2.073534,2.281748,2.420331
71-2802544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.619978,0.90515,1.156205,1.434481,1.5757679999999998,1.8614419999999998,2.0696559999999997,2.208239
72-2802548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.285172,0.536227,0.814503,0.9557899999999999,1.241464,1.4496779999999998,1.5882609999999997
73-2802365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.25105500000000003,0.529331,0.6706179999999999,0.9562919999999999,1.1645059999999998,1.3030889999999997
74-2802570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.278276,0.419563,0.705237,0.913451,1.052034
75-2802571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.141287,0.426961,0.6351749999999999,0.773758
76-2802576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.285674,0.493888,0.632471
77-2802578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.20821399999999998,0.34679699999999997
78-2802585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.13858299999999998
79-2802374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
